"id","det_int","date"
"1","0","2018-06-29 10:42:19"
"2","0","2018-06-29 10:42:28"
"3","0","2018-06-29 10:42:40"
"4","0","2018-06-29 10:42:51"
"5","0","2018-06-29 10:43:03"
"6","0","2018-06-29 10:43:13"
"7","0","2018-06-29 10:43:21"
"8","0","2018-06-29 10:43:31"
"9","0","2018-06-29 10:43:46"
"10","0","2018-06-29 10:43:58"
"11","0","2018-06-29 10:44:09"
"12","0","2018-06-29 10:44:20"
"13","0","2018-06-29 10:44:29"
"14","0","2018-06-29 10:44:38"
"15","0","2018-06-29 10:44:49"
"16","0","2018-06-29 10:44:53"
"17","0","2018-06-29 10:45:01"
"18","0","2018-06-29 10:45:14"
"19","0","2018-06-29 10:45:22"
"20","0","2018-06-29 10:45:34"
"21","0","2018-06-29 10:45:44"
"22","0","2018-06-29 10:45:57"
"23","0","2018-06-29 10:46:05"
"24","0","2018-06-29 10:46:15"
"25","0","2018-06-29 10:46:25"
"26","0","2018-06-29 10:46:36"
"27","0","2018-06-29 10:46:47"
"28","0","2018-06-29 10:46:58"
"29","0","2018-06-29 10:47:08"
"30","0","2018-06-29 10:47:17"
"31","0","2018-06-29 10:47:30"
"32","0","2018-06-29 10:47:41"
"33","0","2018-06-29 10:47:52"
"34","0","2018-06-29 10:48:02"
"35","0","2018-06-29 10:48:15"
"36","0","2018-06-29 10:48:30"
"37","0","2018-06-29 10:48:42"
"38","0","2018-06-29 10:48:51"
"39","0","2018-06-29 10:49:03"
"40","0","2018-06-29 10:49:13"
"41","0","2018-06-29 10:49:25"
"42","0","2018-06-29 10:49:35"
"43","0","2018-06-29 10:49:43"
"44","0","2018-06-29 10:49:56"
"45","0","2018-06-29 10:50:05"
"46","0","2018-06-29 10:50:14"
"47","0","2018-06-29 10:50:24"
"48","0","2018-06-29 10:50:37"
"49","0","2018-06-29 10:50:46"
"50","0","2018-06-29 10:50:57"
"51","0","2018-06-29 10:51:07"
"52","0","2018-06-29 10:51:17"
"53","0","2018-06-29 10:51:27"
"54","0","2018-06-29 10:51:37"
"55","0","2018-06-29 10:51:47"
"56","0","2018-06-29 10:51:57"
"57","0","2018-06-29 10:52:09"
"58","0","2018-06-29 10:52:19"
"59","0","2018-06-29 10:52:29"
"60","0","2018-06-29 10:52:43"
"61","0","2018-06-29 10:52:53"
"62","0","2018-06-29 10:53:07"
"63","0","2018-06-29 10:53:18"
"64","0","2018-06-29 10:53:27"
"65","0","2018-06-29 10:53:41"
"66","0","2018-06-29 10:53:54"
"67","0","2018-06-29 10:54:04"
"68","0","2018-06-29 10:54:18"
"69","0","2018-06-29 10:54:31"
"70","0","2018-06-29 10:54:42"
"71","0","2018-06-29 10:54:53"
"72","0","2018-06-29 10:55:02"
"73","0","2018-06-29 10:55:11"
"74","0","2018-06-29 10:55:22"
