"id","det_int","det_int_redundant","date"
"123","20","20","2018-08-15 10:51:56"
"124","20","20","2018-08-15 10:52:01"
"125","20","20","2018-08-15 10:52:07"
"126","20","20","2018-08-15 10:52:12"
"127","20","20","2018-08-15 10:52:16"
"128","0","0","2018-08-15 10:52:21"
"129","0","0","2018-08-15 10:52:26"
"130","0","0","2018-08-15 10:52:32"
"131","0","0","2018-08-15 10:52:39"
"132","0","0","2018-08-15 10:52:44"
"133","0","0","2018-08-15 10:52:50"
"134","0","0","2018-08-15 10:52:56"
"135","0","0","2018-08-15 10:53:01"
"136","0","0","2018-08-15 10:53:07"
"137","0","0","2018-08-15 10:53:13"
"138","20","20","2018-08-15 10:53:19"
"139","10","10","2018-08-15 10:53:24"
"140","10","10","2018-08-15 10:53:31"
"141","10","10","2018-08-15 10:53:37"
"142","10","10","2018-08-15 10:53:40"
"143","10","10","2018-08-15 10:53:45"
"144","10","10","2018-08-15 10:53:48"
"145","10","10","2018-08-15 10:53:54"
"146","10","10","2018-08-15 10:53:59"
"147","10","10","2018-08-15 10:54:04"
"148","10","10","2018-08-15 10:54:08"
"149","10","10","2018-08-15 10:54:14"
"150","10","10","2018-08-15 10:54:21"
"151","10","10","2018-08-15 10:54:26"
"152","10","10","2018-08-15 10:54:32"
"153","10","10","2018-08-15 10:54:39"
"154","20","20","2018-08-15 10:54:44"
"155","10","10","2018-08-15 10:54:50"
"156","10","10","2018-08-15 10:54:55"
"157","10","10","2018-08-15 10:54:59"
"158","10","10","2018-08-15 10:55:05"
"159","10","10","2018-08-15 10:55:13"
"160","10","10","2018-08-15 10:55:17"
"161","10","10","2018-08-15 10:55:23"
"162","40","40","2018-08-15 10:55:29"
"163","40","40","2018-08-15 10:55:35"
"164","40","40","2018-08-15 10:55:40"
"165","10","10","2018-08-15 10:55:44"
"166","10","10","2018-08-15 10:55:51"
"167","10","10","2018-08-15 10:55:55"
"168","10","10","2018-08-15 10:55:59"
"169","10","10","2018-08-15 10:56:03"
"170","10","10","2018-08-15 10:56:08"
"171","10","10","2018-08-15 10:56:13"
"172","10","10","2018-08-15 10:56:18"
"173","40","40","2018-08-15 10:56:23"
"174","40","40","2018-08-15 10:56:30"
"175","40","40","2018-08-15 10:56:34"
"176","10","10","2018-08-15 10:56:40"
"177","10","10","2018-08-15 10:56:44"
"178","10","10","2018-08-15 10:56:49"
"179","10","10","2018-08-15 10:56:54"
"180","10","10","2018-08-15 10:57:00"
"181","10","10","2018-08-15 10:57:06"
"182","10","10","2018-08-15 10:57:12"
"183","20","20","2018-08-15 10:57:18"
"184","20","20","2018-08-15 10:57:23"
"185","20","20","2018-08-15 10:57:30"
"186","20","20","2018-08-15 10:57:36"
"187","20","20","2018-08-15 10:57:43"
"188","10","10","2018-08-15 10:57:49"
"189","10","10","2018-08-15 10:57:56"
"190","10","10","2018-08-15 10:58:02"
"191","20","20","2018-08-15 10:58:07"
"192","20","20","2018-08-15 10:58:12"
"193","10","10","2018-08-15 10:58:18"
"194","40","40","2018-08-15 10:58:22"
"195","40","40","2018-08-15 10:58:27"
"196","40","40","2018-08-15 10:58:29"
"197","40","40","2018-08-15 10:58:33"
"198","40","40","2018-08-15 10:58:37"
"199","40","40","2018-08-15 10:58:40"
"200","40","40","2018-08-15 10:58:47"
"201","10","10","2018-08-15 10:58:52"
"202","10","10","2018-08-15 10:58:57"
"203","10","10","2018-08-15 10:59:01"
"204","10","10","2018-08-15 10:59:05"
"205","10","10","2018-08-15 10:59:12"
"206","40","40","2018-08-15 10:59:17"
"207","40","40","2018-08-15 10:59:24"
"208","30","30","2018-08-15 10:59:32"
"209","40","40","2018-08-15 10:59:39"
"210","40","40","2018-08-15 10:59:43"
"211","30","30","2018-08-15 10:59:46"
"212","30","30","2018-08-15 10:59:53"
"213","30","30","2018-08-15 10:59:58"
"214","30","30","2018-08-15 11:00:03"
"215","30","30","2018-08-15 11:00:08"
"216","30","30","2018-08-15 11:00:12"
"217","30","30","2018-08-15 11:00:19"
"218","30","30","2018-08-15 11:00:23"
"219","40","40","2018-08-15 11:00:28"
"220","40","40","2018-08-15 11:00:34"
"221","40","40","2018-08-15 11:00:37"
"222","30","30","2018-08-15 11:00:43"
"223","30","30","2018-08-15 11:00:48"
"224","30","30","2018-08-15 11:00:52"
"225","40","40","2018-08-15 11:01:00"
"226","30","30","2018-08-15 11:01:04"
"227","30","30","2018-08-15 11:01:11"
"228","30","30","2018-08-15 11:01:18"
"229","40","40","2018-08-15 11:01:22"
"230","40","40","2018-08-15 11:01:26"
"231","30","30","2018-08-15 11:01:33"
"232","30","30","2018-08-15 11:01:37"
"233","30","30","2018-08-15 11:01:44"
"234","30","30","2018-08-15 11:01:51"
"235","40","40","2018-08-15 11:01:54"
"236","40","40","2018-08-15 11:01:59"
"237","30","30","2018-08-15 11:02:07"
"238","40","40","2018-08-15 11:02:09"
"239","40","40","2018-08-15 11:02:11"
"240","40","40","2018-08-15 11:02:15"
"241","40","40","2018-08-15 11:02:21"
"242","40","40","2018-08-15 11:02:26"
"243","10","10","2018-08-15 11:02:28"
"244","10","10","2018-08-15 11:02:34"
"245","10","10","2018-08-15 11:02:40"
"246","10","10","2018-08-15 11:02:43"
