id,det_int,det_int_redundant,date
1,10,10,2018-08-01 11:34:48
2,10,10,2018-08-01 11:34:58
3,10,10,2018-08-01 11:35:06
4,10,10,2018-08-01 11:35:20
5,10,10,2018-08-01 11:35:30
6,10,10,2018-08-01 11:35:43
7,10,10,2018-08-01 11:35:56
8,10,10,2018-08-01 11:36:06
9,10,10,2018-08-01 11:36:15
10,10,10,2018-08-01 11:36:27
11,0,0,2018-08-01 11:36:36
12,0,0,2018-08-01 11:36:46
13,0,0,2018-08-01 11:36:57
14,10,10,2018-08-01 11:37:04
15,10,10,2018-08-01 11:37:15
16,10,10,2018-08-01 11:37:26
17,10,10,2018-08-01 11:37:37
18,0,0,2018-08-01 11:37:48
19,10,10,2018-08-01 11:37:59
20,10,10,2018-08-01 11:38:11
21,10,10,2018-08-01 11:38:21
22,10,10,2018-08-01 11:38:32
23,10,10,2018-08-01 11:38:46
24,10,10,2018-08-01 11:38:57
25,10,10,2018-08-01 11:39:09
26,10,10,2018-08-01 11:39:20
27,10,10,2018-08-01 11:39:34
28,10,10,2018-08-01 11:39:46
29,10,10,2018-08-01 11:39:57
30,10,10,2018-08-01 11:40:08
31,0,0,2018-08-01 11:40:17
32,10,10,2018-08-01 11:40:24
33,10,10,2018-08-01 11:40:34
34,10,10,2018-08-01 11:40:43
35,0,0,2018-08-01 11:40:53
36,10,10,2018-08-01 11:41:03
37,10,10,2018-08-01 11:41:11
38,10,10,2018-08-01 11:41:23
39,10,10,2018-08-01 11:41:31
40,10,10,2018-08-01 11:41:43
41,10,10,2018-08-01 11:41:51
42,10,10,2018-08-01 11:42:04
43,10,10,2018-08-01 11:42:14
44,10,10,2018-08-01 11:42:23
45,10,10,2018-08-01 11:42:36
46,10,10,2018-08-01 11:42:47
47,10,10,2018-08-01 11:42:55
48,10,10,2018-08-01 11:43:07
49,20,20,2018-08-01 11:43:16
50,10,10,2018-08-01 11:43:25
51,10,10,2018-08-01 11:43:39
52,10,10,2018-08-01 11:43:49
53,20,20,2018-08-01 11:44:02
54,20,20,2018-08-01 11:44:13
55,10,10,2018-08-01 11:44:19
56,10,10,2018-08-01 11:44:28
57,10,10,2018-08-01 11:44:43
58,10,10,2018-08-01 11:44:52
59,10,10,2018-08-01 11:45:01
60,10,10,2018-08-01 11:45:11
61,10,10,2018-08-01 11:45:18
62,10,10,2018-08-01 11:45:26
63,10,10,2018-08-01 11:45:36
64,10,10,2018-08-01 11:45:45
65,10,10,2018-08-01 11:45:57
66,0,0,2018-08-01 11:46:09
67,0,0,2018-08-01 11:46:18
68,10,10,2018-08-01 11:46:29
69,10,10,2018-08-01 11:46:40
70,10,10,2018-08-01 11:46:53
71,10,10,2018-08-01 11:47:03
72,10,10,2018-08-01 11:47:13
73,20,20,2018-08-01 11:47:26
74,20,20,2018-08-01 11:47:33
75,20,20,2018-08-01 11:47:47
76,20,20,2018-08-01 11:47:59
77,20,20,2018-08-01 11:48:09
78,20,20,2018-08-01 11:48:19
79,20,20,2018-08-01 11:48:28
80,20,20,2018-08-01 11:48:40
81,10,10,2018-08-01 11:48:49
82,10,10,2018-08-01 11:49:00
83,10,10,2018-08-01 11:49:11
84,10,10,2018-08-01 11:49:20
85,10,10,2018-08-01 11:49:31
86,10,10,2018-08-01 11:49:43
87,10,10,2018-08-01 11:49:52
88,10,10,2018-08-01 11:50:02
