"id","det_int","det_int_redundant","date"
"1","30","30","2018-06-29 17:24:40"
"2","30","30","2018-06-29 17:24:52"
"3","30","30","2018-06-29 17:25:06"
"4","30","30","2018-06-29 17:25:18"
"5","30","30","2018-06-29 17:25:26"
"6","30","30","2018-06-29 17:25:34"
"7","30","30","2018-06-29 17:25:43"
"8","20","20","2018-06-29 17:25:51"
"9","20","20","2018-06-29 17:26:04"
"10","30","30","2018-06-29 17:26:14"
"11","30","30","2018-06-29 17:26:25"
"12","30","30","2018-06-29 17:26:39"
"13","30","30","2018-06-29 17:26:51"
"14","30","30","2018-06-29 17:27:01"
"15","30","30","2018-06-29 17:27:09"
"16","30","30","2018-06-29 17:27:21"
"17","30","30","2018-06-29 17:27:28"
"18","30","30","2018-06-29 17:27:41"
"19","30","30","2018-06-29 17:27:50"
"20","30","30","2018-06-29 17:27:56"
"21","30","30","2018-06-29 17:28:09"
"22","20","20","2018-06-29 17:28:19"
"23","20","20","2018-06-29 17:28:30"
"24","20","20","2018-06-29 17:28:40"
"25","20","20","2018-06-29 17:28:51"
"26","20","20","2018-06-29 17:29:02"
"27","20","20","2018-06-29 17:29:14"
"28","20","20","2018-06-29 17:29:27"
"29","20","20","2018-06-29 17:29:36"
"30","20","20","2018-06-29 17:29:48"
"31","20","20","2018-06-29 17:29:56"
"32","20","20","2018-06-29 17:30:10"
"33","20","20","2018-06-29 17:30:19"
"34","20","20","2018-06-29 17:30:28"
"35","20","20","2018-06-29 17:30:40"
"36","20","20","2018-06-29 17:30:51"
"37","20","20","2018-06-29 17:31:03"
"38","20","20","2018-06-29 17:31:14"
"39","20","20","2018-06-29 17:31:25"
"40","20","20","2018-06-29 17:31:38"
"41","20","20","2018-06-29 17:31:48"
"42","20","20","2018-06-29 17:32:00"
"43","20","20","2018-06-29 17:32:09"
"44","20","20","2018-06-29 17:32:17"
"45","20","20","2018-06-29 17:32:30"
"46","20","20","2018-06-29 17:32:41"
"47","20","20","2018-06-29 17:32:50"
"48","20","20","2018-06-29 17:32:56"
"49","30","30","2018-06-29 17:33:08"
"50","30","30","2018-06-29 17:33:19"
"51","30","30","2018-06-29 17:33:29"
"52","30","30","2018-06-29 17:33:39"
"53","30","30","2018-06-29 17:33:49"
"54","30","30","2018-06-29 17:33:59"
"55","20","20","2018-06-29 17:34:13"
"56","30","30","2018-06-29 17:34:24"
"57","20","20","2018-06-29 17:34:33"
"58","20","20","2018-06-29 17:34:45"
"59","20","20","2018-06-29 17:34:52"
"60","20","20","2018-06-29 17:35:02"
"61","20","20","2018-06-29 17:35:15"
"62","20","20","2018-06-29 17:35:21"
"63","20","20","2018-06-29 17:35:31"
"64","20","20","2018-06-29 17:35:39"
"65","20","20","2018-06-29 17:35:50"
"66","20","20","2018-06-29 17:36:01"
"67","20","20","2018-06-29 17:36:11"
"68","20","20","2018-06-29 17:36:23"
"69","20","20","2018-06-29 17:36:34"
"70","20","20","2018-06-29 17:36:43"
"71","20","20","2018-06-29 17:36:54"
"72","30","30","2018-06-29 17:37:06"
"73","30","30","2018-06-29 17:37:17"
"74","30","30","2018-06-29 17:37:30"
"75","30","30","2018-06-29 17:37:43"
"76","30","30","2018-06-29 17:37:55"
"77","30","30","2018-06-29 17:38:05"
"78","30","30","2018-06-29 17:38:15"
"79","30","30","2018-06-29 17:38:27"
"80","30","30","2018-06-29 17:38:37"
"81","30","30","2018-06-29 17:38:50"
"82","30","30","2018-06-29 17:38:59"
"83","30","30","2018-06-29 17:39:13"
"84","30","30","2018-06-29 17:39:21"
