"id","det_int","det_int_redundant","date"
"1","60","60","2018-08-02 12:04:58"
"2","60","60","2018-08-02 12:05:11"
"3","60","60","2018-08-02 12:05:19"
"4","60","60","2018-08-02 12:05:28"
"5","60","60","2018-08-02 12:05:39"
"6","60","60","2018-08-02 12:05:48"
"7","60","60","2018-08-02 12:06:01"
"8","60","60","2018-08-02 12:06:12"
"9","60","60","2018-08-02 12:06:23"
"10","60","60","2018-08-02 12:06:35"
"11","60","60","2018-08-02 12:06:48"
"12","60","60","2018-08-02 12:07:00"
"13","60","60","2018-08-02 12:07:12"
"14","60","60","2018-08-02 12:07:23"
"15","60","60","2018-08-02 12:07:33"
"16","60","60","2018-08-02 12:07:43"
"17","60","60","2018-08-02 12:07:53"
"18","60","60","2018-08-02 12:08:02"
"19","60","60","2018-08-02 12:08:13"
"20","60","60","2018-08-02 12:08:21"
"21","60","60","2018-08-02 12:08:32"
"22","60","60","2018-08-02 12:08:44"
"23","60","60","2018-08-02 12:08:56"
"24","60","60","2018-08-02 12:09:05"
"25","60","60","2018-08-02 12:09:12"
"26","60","60","2018-08-02 12:09:22"
"27","60","60","2018-08-02 12:09:30"
"28","60","60","2018-08-02 12:09:42"
"29","60","60","2018-08-02 12:09:50"
"30","60","60","2018-08-02 12:10:03"
"31","60","60","2018-08-02 12:10:17"
"32","60","60","2018-08-02 12:10:29"
"33","60","60","2018-08-02 12:10:40"
"34","60","60","2018-08-02 12:10:47"
"35","60","60","2018-08-02 12:10:55"
"36","60","60","2018-08-02 12:11:03"
"37","60","60","2018-08-02 12:11:13"
"38","60","60","2018-08-02 12:11:25"
"39","60","60","2018-08-02 12:11:34"
"40","60","60","2018-08-02 12:11:46"
"41","60","60","2018-08-02 12:11:56"
"42","60","60","2018-08-02 12:12:07"
"43","60","60","2018-08-02 12:12:18"
"44","70","70","2018-08-02 12:12:30"
"45","70","70","2018-08-02 12:12:40"
"46","70","70","2018-08-02 12:12:49"
"47","70","70","2018-08-02 12:13:00"
"48","70","70","2018-08-02 12:13:11"
"49","70","70","2018-08-02 12:13:25"
"50","70","70","2018-08-02 12:13:37"
"51","60","60","2018-08-02 12:13:43"
"52","60","60","2018-08-02 12:13:55"
"53","70","70","2018-08-02 12:14:09"
"54","60","60","2018-08-02 12:14:17"
"55","60","60","2018-08-02 12:14:27"
"56","60","60","2018-08-02 12:14:37"
"57","60","60","2018-08-02 12:14:50"
"58","60","60","2018-08-02 12:15:05"
"59","60","60","2018-08-02 12:15:17"
"60","60","60","2018-08-02 12:15:29"
"61","60","60","2018-08-02 12:15:37"
"62","60","60","2018-08-02 12:15:45"
"63","60","60","2018-08-02 12:15:57"
"64","60","60","2018-08-02 12:16:08"
"65","60","60","2018-08-02 12:16:18"
"66","60","60","2018-08-02 12:16:28"
"67","60","60","2018-08-02 12:16:40"
"68","60","60","2018-08-02 12:16:52"
"69","60","60","2018-08-02 12:17:05"
"70","60","60","2018-08-02 12:17:17"
"71","60","60","2018-08-02 12:17:31"
"72","60","60","2018-08-02 12:17:39"
