"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"115","16715","2.00","12","912518","3347207","397011","129762","0","0","61423","262075","22329","7943","0","0","2018-08-15 10:52:00"
"116","17996","2.00","13","981608","3606469","424793","138881","0","0","69090","259262","27782","9119","0","0","2018-08-15 10:52:10"
"117","19275","2.00","14","1048164","3866922","450603","147697","0","0","66556","260453","25810","8816","0","0","2018-08-15 10:52:20"
"118","20555","2.00","15","1116939","4125826","478095","157022","0","0","68775","258904","27492","9325","0","0","2018-08-15 10:52:30"
"119","21835","2.00","16","1180091","4390354","501412","165049","0","0","63152","264528","23317","8027","0","0","2018-08-15 10:52:40"
"120","23119","2.00","17","1254239","4645254","532964","175532","0","0","74148","254900","31552","10483","0","0","2018-08-15 10:52:50"
"121","24395","2.00","18","1295728","4930077","550944","182011","0","0","41488","284823","17980","6479","0","0","2018-08-15 10:53:00"
"122","25675","2.00","19","1367148","5186337","580640","191593","0","0","71420","256260","29696","9582","0","0","2018-08-15 10:53:10"
"123","26955","2.00","20","1452772","5428393","621065","204208","0","0","85624","242056","40425","12615","0","0","2018-08-15 10:53:20"
"124","28235","2.00","21","1530239","5678606","665958","218003","0","0","77467","250213","44893","13795","0","0","2018-08-15 10:53:30"
"125","29515","2.00","22","1632557","5903968","707891","231001","0","0","102317","225362","41933","12998","0","0","2018-08-15 10:53:40"
"126","30795","2.00","23","1715645","6148560","745417","243070","0","0","83088","244592","37526","12069","0","0","2018-08-15 10:53:50"
"127","32088","2.00","24","1796135","6399432","782074","254736","0","0","80490","250872","36657","11666","0","0","2018-08-15 10:54:00"
"128","33355","2.00","25","1857190","6662375","803535","262302","0","0","61055","262943","21461","7566","0","0","2018-08-15 10:54:10"
"129","34635","2.00","26","1910191","6937054","830041","271070","0","0","53001","274679","26506","8768","0","0","2018-08-15 10:54:20"
"130","35918","2.00","27","1976787","7199138","855909","279830","0","0","66596","262084","25868","8760","0","0","2018-08-15 10:54:30"
"131","37195","2.00","28","2040015","7462590","879283","288101","0","0","63228","263452","23374","8271","0","0","2018-08-15 10:54:40"
"132","38487","2.00","29","2105942","7727831","909152","298121","0","0","65927","265241","29869","10020","0","0","2018-08-15 10:54:50"
"133","39755","2.00","30","2196908","7961057","948128","310588","0","0","90965","233226","38976","12467","0","0","2018-08-15 10:55:00"
"134","41035","2.00","31","2256629","8229016","979564","320787","0","0","59720","267959","31436","10199","0","0","2018-08-15 10:55:10"
"135","42315","2.00","32","2336531","8476794","1014539","332429","0","0","79902","247778","34975","11642","0","0","2018-08-15 10:55:20"
"136","43595","2.00","33","2406671","8734334","1042380","342111","0","0","70140","257540","27841","9682","0","0","2018-08-15 10:55:30"
"137","44879","2.00","34","2478752","8991339","1072656","351729","0","0","72081","257005","30276","9618","0","0","2018-08-15 10:55:40"
"138","46155","2.00","35","2539395","9256971","1104962","362197","0","0","60642","265632","32306","10468","0","0","2018-08-15 10:55:50"
"139","47442","2.00","36","2666970","9458984","1166500","380087","0","0","127575","202013","61538","17890","0","0","2018-08-15 10:56:00"
"140","48715","2.00","37","2748392","9703333","1203735","391696","0","0","81421","244349","37235","11609","0","0","2018-08-15 10:56:10"
"141","50004","2.00","38","2825318","9956512","1237201","402454","0","0","76925","253179","33466","10758","0","0","2018-08-15 10:56:20"
"142","51277","2.00","39","2897479","10210300","1277219","414714","0","0","72160","253788","40018","12260","0","0","2018-08-15 10:56:30"
"143","52557","2.00","40","2987705","10447918","1311091","425704","0","0","90225","237618","33872","10990","0","0","2018-08-15 10:56:40"
"144","53835","2.00","41","3066936","10695509","1346760","436719","0","0","79231","247591","35669","11015","0","0","2018-08-15 10:56:50"
"145","55115","2.00","42","3121882","10968243","1374716","446082","0","0","54946","272734","27956","9363","0","0","2018-08-15 10:57:00"
"146","56395","2.00","43","3188691","11229114","1400932","454683","0","0","66809","260871","26216","8601","0","0","2018-08-15 10:57:10"
"147","57675","2.00","44","3253830","11491655","1425756","463230","0","0","65139","262541","24824","8547","0","0","2018-08-15 10:57:20"
"148","58955","2.00","45","3310891","11762274","1455626","472702","0","0","57061","270619","29870","9472","0","0","2018-08-15 10:57:30"
"149","60250","2.00","46","3375280","12029607","1479986","481100","0","0","64389","267333","24360","8398","0","0","2018-08-15 10:57:40"
"150","61533","2.00","47","3446124","12287254","1509102","491060","0","0","70844","257647","29116","9960","0","0","2018-08-15 10:57:50"
"151","62795","2.00","48","3505440","12550765","1540537","501032","0","0","59315","263511","31435","9972","0","0","2018-08-15 10:58:00"
