"id","det_int","det_int_redundant","date"
"2197","60","60","2018-08-18 11:15:25"
"2198","60","60","2018-08-18 11:15:50"
"2199","60","60","2018-08-18 11:16:15"
"2200","60","60","2018-08-18 11:16:40"
"2201","60","60","2018-08-18 11:17:05"
"2202","60","60","2018-08-18 11:17:31"
"2203","70","70","2018-08-18 11:17:56"
"2204","60","60","2018-08-18 11:18:21"
"2205","70","70","2018-08-18 11:18:46"
"2206","60","60","2018-08-18 11:19:12"
"2207","70","70","2018-08-18 11:19:37"
"2208","50","50","2018-08-18 11:20:02"
"2209","50","50","2018-08-18 11:20:27"
"2210","50","50","2018-08-18 11:20:52"
"2211","50","50","2018-08-18 11:21:18"
"2212","50","50","2018-08-18 11:21:43"
"2213","50","50","2018-08-18 11:22:08"
"2214","50","50","2018-08-18 11:22:33"
"2215","50","50","2018-08-18 11:22:58"
"2216","50","50","2018-08-18 11:23:23"
"2217","50","50","2018-08-18 11:23:49"
"2218","50","50","2018-08-18 11:24:14"
"2219","50","50","2018-08-18 11:24:40"
"2220","70","70","2018-08-18 11:25:05"
"2221","70","70","2018-08-18 11:25:31"
"2222","60","60","2018-08-18 11:25:56"
"2223","60","60","2018-08-18 11:26:22"
"2224","60","60","2018-08-18 11:26:47"
"2225","60","60","2018-08-18 11:27:12"
"2226","60","60","2018-08-18 11:27:37"
"2227","60","60","2018-08-18 11:28:03"
"2228","60","60","2018-08-18 11:28:28"
"2229","60","60","2018-08-18 11:28:53"
"2230","60","60","2018-08-18 11:29:18"
"2231","70","70","2018-08-18 11:29:45"
"2232","70","70","2018-08-18 11:30:10"
"2233","60","60","2018-08-18 11:30:36"
"2234","70","70","2018-08-18 11:31:01"
"2235","60","60","2018-08-18 11:31:26"
"2236","70","70","2018-08-18 11:31:52"
"2237","60","60","2018-08-18 11:32:17"
"2238","70","70","2018-08-18 11:32:43"
"2239","70","70","2018-08-18 11:33:08"
"2240","60","60","2018-08-18 11:33:34"
"2241","60","60","2018-08-18 11:33:59"
"2242","60","60","2018-08-18 11:34:25"
"2243","60","60","2018-08-18 11:34:50"
"2244","70","70","2018-08-18 11:35:15"
"2245","70","70","2018-08-18 11:35:41"
"2246","70","70","2018-08-18 11:36:06"
"2247","70","70","2018-08-18 11:36:31"
"2248","50","50","2018-08-18 11:36:56"
"2249","50","50","2018-08-18 11:37:21"
"2250","50","50","2018-08-18 11:37:47"
"2251","50","50","2018-08-18 11:38:12"
"2252","50","50","2018-08-18 11:38:37"
"2253","50","50","2018-08-18 11:39:02"
"2254","50","50","2018-08-18 11:39:27"
"2255","50","50","2018-08-18 11:39:52"
"2256","50","50","2018-08-18 11:40:18"
"2257","50","50","2018-08-18 11:40:43"
"2258","50","50","2018-08-18 11:41:08"
"2259","50","50","2018-08-18 11:41:33"
"2260","70","70","2018-08-18 11:41:59"
"2261","70","70","2018-08-18 11:42:24"
"2262","50","50","2018-08-18 11:42:50"
"2263","50","50","2018-08-18 11:43:15"
"2264","50","50","2018-08-18 11:43:40"
"2265","50","50","2018-08-18 11:44:06"
"2266","50","50","2018-08-18 11:44:31"
"2267","50","50","2018-08-18 11:44:56"
"2268","50","50","2018-08-18 11:45:21"
"2269","50","50","2018-08-18 11:45:47"
"2270","50","50","2018-08-18 11:46:12"
"2271","50","50","2018-08-18 11:46:38"
"2272","60","60","2018-08-18 11:47:03"
"2273","60","60","2018-08-18 11:47:28"
"2274","60","60","2018-08-18 11:47:54"
"2275","60","60","2018-08-18 11:48:19"
"2276","70","70","2018-08-18 11:48:44"
"2277","60","60","2018-08-18 11:49:09"
