"id","det_int","det_int_redundant","date"
"1","60","60","2018-08-16 12:26:55"
"2","60","60","2018-08-16 12:27:00"
"3","50","50","2018-08-16 12:27:05"
"4","60","60","2018-08-16 12:27:10"
"5","60","60","2018-08-16 12:27:15"
"6","60","60","2018-08-16 12:27:20"
"7","70","70","2018-08-16 12:27:25"
"8","70","70","2018-08-16 12:27:30"
"9","70","70","2018-08-16 12:27:36"
"10","70","70","2018-08-16 12:27:41"
"11","70","70","2018-08-16 12:27:46"
"12","80","80","2018-08-16 12:27:51"
"13","70","70","2018-08-16 12:27:56"
"14","80","80","2018-08-16 12:28:01"
"15","70","70","2018-08-16 12:28:06"
"16","80","80","2018-08-16 12:28:12"
"17","70","70","2018-08-16 12:28:17"
"18","70","70","2018-08-16 12:28:22"
"19","80","80","2018-08-16 12:28:27"
"20","70","70","2018-08-16 12:28:32"
"21","80","80","2018-08-16 12:28:37"
"22","80","80","2018-08-16 12:28:42"
"23","80","80","2018-08-16 12:28:47"
"24","80","80","2018-08-16 12:28:52"
"25","80","80","2018-08-16 12:28:57"
"26","80","80","2018-08-16 12:29:03"
"27","80","80","2018-08-16 12:29:08"
"28","70","70","2018-08-16 12:29:13"
"29","80","80","2018-08-16 12:29:18"
"30","80","80","2018-08-16 12:29:23"
"31","80","80","2018-08-16 12:29:28"
"32","80","80","2018-08-16 12:29:34"
"33","80","80","2018-08-16 12:29:39"
"34","70","70","2018-08-16 12:29:44"
"35","70","70","2018-08-16 12:29:49"
"36","80","80","2018-08-16 12:29:54"
"37","80","80","2018-08-16 12:29:59"
"38","80","80","2018-08-16 12:30:04"
"39","70","70","2018-08-16 12:30:09"
"40","80","80","2018-08-16 12:30:14"
"41","80","80","2018-08-16 12:30:19"
"42","80","80","2018-08-16 12:30:24"
"43","70","70","2018-08-16 12:30:30"
"44","80","80","2018-08-16 12:30:35"
"45","80","80","2018-08-16 12:30:40"
"46","70","70","2018-08-16 12:30:45"
"47","70","70","2018-08-16 12:30:50"
"48","70","70","2018-08-16 12:30:55"
"49","80","80","2018-08-16 12:31:00"
"50","80","80","2018-08-16 12:31:06"
"51","70","70","2018-08-16 12:31:11"
"52","80","80","2018-08-16 12:31:16"
"53","70","70","2018-08-16 12:31:21"
"54","70","70","2018-08-16 12:31:26"
