"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","50","785.31","756","726.6799927","697.3699951","668.0599976","638.75","609.4299927","580.1199951","550.8099976","521.5","0.52","0.460000008","0.409999996","0.360000014","0.310000002","0.25999999","0.200000003","0.150000006","0.100000001","0.050000001","2018-08-10 10:55:46"
"2","75","942.5","923.8499756","899.3300171","868.960022","832.7199707","790.6199951","742.6599731","688.8300171","629.1500244","563.5900269","0.36","0.370000005","0.370000005","0.360000014","0.340000004","0.310000002","0.25999999","0.209999993","0.150000006","0.079999998","2018-08-10 10:56:13"
"3","100","745.93","763.7199707","776.6099854","782.8400269","780.6500244","768.2800293","743.9699707","705.960022","652.5","581.8300171","0.08","0.100000001","0.129999995","0.159999996","0.180000007","0.189999998","0.189999998","0.170000002","0.140000001","0.079999998","2018-08-10 10:56:36"
"4","125","811.87","807.0599976","804.8200073","803.1599731","799.3800049","790.0700073","771.1300049","737.7299805","684.3800049","604.8300171","0","0.01","0.02","0.039999999","0.07","0.090000004","0.109999999","0.119999997","0.109999999","0.07","2018-08-10 10:57:03"
"5","150","886.56","878.6099854","870.210022","861.539978","851.6900024","838.3200073","817.2999878","782.3800049","724.8099976","633.0100098","0","0","0","0.01","0.02","0.039999999","0.059999999","0.079999998","0.079999998","0.059999999","2018-08-10 10:57:32"
"6","175","942.5","936.1099854","928.039978","918.210022","906.1699829","890.4099731","867.3800049","830.4199829","768.3499756","663.9500122","0.08","0.07","0.059999999","0.059999999","0.050000001","0.059999999","0.07","0.079999998","0.079999998","0.059999999","2018-08-10 10:58:00"
"7","200","879.06","884.7600098","888.8499756","890.7999878","889.9000244","884.7299805","872.0499878","845.0100098","790.4899902","685.460022","0.36","0.330000013","0.300000012","0.270000011","0.230000004","0.209999993","0.180000007","0.159999996","0.140000001","0.090000004","2018-08-10 10:58:26"
"8","225","963.43","955.5700073","948.5200195","941.6400146","934.0200195","924.0800171","908.5999756","880.539978","825.0800171","713.2600098","0.4","0.389999986","0.379999995","0.360000014","0.330000013","0.300000012","0.270000011","0.230000004","0.189999998","0.119999997","2018-08-10 10:58:54"
"9","250","827.81","840.5800171","851.9500122","861.960022","870.289978","875.9400024","876.2800293","864.7199707","825.6199951","724.7199707","0.36","0.360000014","0.360000014","0.360000014","0.349999994","0.330000013","0.300000012","0.270000011","0.219999999","0.150000006","2018-08-10 10:59:19"
"10","275","851.87","850.7399902","851.8900146","854.9000244","859.2399902","863.9099731","866.5200195","860.8599854","830.8699951","737.4299927","0","0.029999999","0.07","0.100000001","0.140000001","0.159999996","0.180000007","0.189999998","0.180000007","0.129999995","2018-08-10 10:59:49"
