"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"1","2635","2.00","1","88740","566505","42108","15892","0","0","25740","301940","16066","6547","0","0","2018-08-15 11:48:36"
"2","3915","2.00","2","137880","845045","64901","24329","0","0","49140","278540","22793","8437","0","0","2018-08-15 11:48:46"
"3","5195","2.00","3","184504","1126101","85491","32497","0","0","46624","281056","20590","8168","0","0","2018-08-15 11:48:56"
"4","6475","2.00","4","254055","1384230","113099","41997","0","0","69551","258129","27608","9500","0","0","2018-08-15 11:49:06"
"5","7755","2.00","5","295906","1670060","130672","48849","0","0","41851","285830","17573","6852","0","0","2018-08-15 11:49:16"
"6","9035","2.00","6","349147","1944498","156192","58097","0","0","53241","274438","25520","9248","0","0","2018-08-15 11:49:26"
"7","10315","2.00","7","393894","2227431","175565","65679","0","0","44747","282933","19373","7582","0","0","2018-08-15 11:49:36"
"8","11595","2.00","8","419357","2529648","191282","72138","0","0","25463","302217","15717","6459","0","0","2018-08-15 11:49:46"
"9","12883","2.00","9","461335","2817609","208913","79166","0","0","41978","287961","17631","7028","0","0","2018-08-15 11:49:56"
"10","14163","2.00","10","494148","3112476","219816","84625","0","0","32813","294867","10903","5459","0","0","2018-08-15 11:50:06"
"11","15435","2.00","11","531797","3400249","234142","90836","0","0","37649","287773","14326","6211","0","0","2018-08-15 11:50:16"
"12","16715","2.00","12","580920","3678805","257110","99181","0","0","49123","278556","22968","8345","0","0","2018-08-15 11:50:26"
"13","18003","2.00","13","640661","3948982","288721","109567","0","0","59741","270177","31611","10386","0","0","2018-08-15 11:50:36"
"14","19275","2.00","14","693189","4221896","313893","118572","0","0","52528","272914","25172","9005","0","0","2018-08-15 11:50:46"
"15","20555","2.00","15","720793","4521972","331119","125671","0","0","27604","300076","17226","7099","0","0","2018-08-15 11:50:56"
"16","21835","2.00","16","766829","4803616","351245","133575","0","0","46035","281644","20126","7904","0","0","2018-08-15 11:51:06"
"17","23115","2.00","17","822081","5076044","367602","140746","0","0","55252","272428","16357","7171","0","0","2018-08-15 11:51:16"
"18","24395","2.00","18","873098","5352707","391731","149381","0","0","51016","276663","24129","8635","0","0","2018-08-15 11:51:26"
"19","25675","2.00","19","913647","5639838","407970","156589","0","0","40549","287131","16239","7208","0","0","2018-08-15 11:51:36"
"20","26963","2.00","20","952459","5930994","433722","165801","0","0","38811","291156","25752","9212","0","0","2018-08-15 11:51:46"
"21","28235","2.00","21","995315","6213530","451818","172879","0","0","42855","282536","18096","7078","0","0","2018-08-15 11:51:56"
"22","29515","2.00","22","1032452","6504147","465622","178966","0","0","37137","290617","13804","6087","0","0","2018-08-15 11:52:06"
"23","30795","2.00","23","1073811","6790394","482673","185824","0","0","41359","286247","17051","6858","0","0","2018-08-15 11:52:16"
"24","32083","2.00","24","1121456","7072688","503785","193863","0","0","47645","282294","21112","8039","0","0","2018-08-15 11:52:26"
"25","33355","2.00","25","1160037","7359528","518575","200619","0","0","38581","286840","14790","6756","0","0","2018-08-15 11:52:36"
