id,clock_time,linkaddr_node_addr,seqno,all_cpu,all_lpm,all_transmit,all_listen,all_idle_transmit,all_idle_listen,cpu,lpm,transmit,listen,idle_transmit,idle_listen,date
1,6475,2,4,121293,1516992,55274,26926,0,0,22490,305190,13167,6075,0,0,2018-08-15 12:36:58
2,7755,2,5,166374,1799591,74646,34385,0,0,45081,282599,19372,7459,0,0,2018-08-15 12:37:08
3,9035,2,6,188568,2105078,87348,40711,0,0,22194,305487,12702,6326,0,0,2018-08-15 12:37:18
4,10315,2,7,209538,2411787,99644,46341,0,0,20970,306709,12296,5630,0,0,2018-08-15 12:37:28
5,11595,2,8,256446,2692559,119712,54610,0,0,46908,280772,20068,8269,0,0,2018-08-15 12:37:38
6,12875,2,9,282411,2994274,135198,61323,0,0,25965,301715,15486,6713,0,0,2018-08-15 12:37:48
7,14155,2,10,298917,3305448,144072,66176,0,0,16506,311174,8874,4853,0,0,2018-08-15 12:37:58
8,15435,2,11,327320,3604725,151438,70700,0,0,28403,299277,7366,4524,0,0,2018-08-15 12:38:08
9,16715,2,12,356910,3902815,169476,78115,0,0,29590,298090,18038,7415,0,0,2018-08-15 12:38:18
10,17995,2,13,396967,4190438,184962,84796,0,0,40056,287623,15486,6681,0,0,2018-08-15 12:38:28
11,19275,2,14,419271,4495814,197606,90935,0,0,22304,305376,12644,6139,0,0,2018-08-15 12:38:38
12,20555,2,15,437128,4805637,207466,95780,0,0,17857,309823,9860,4845,0,0,2018-08-15 12:38:48
13,21840,2,16,470014,5102062,217557,100810,0,0,32886,296425,10091,5030,0,0,2018-08-15 12:38:58
14,23115,2,17,487622,5410503,227475,105543,0,0,17608,308441,9918,4733,0,0,2018-08-15 12:39:08
15,24395,2,18,512300,5713506,242555,111799,0,0,24677,303003,15080,6256,0,0,2018-08-15 12:39:18
16,25675,2,19,549020,6004465,255315,117931,0,0,36720,290959,12760,6132,0,0,2018-08-15 12:39:28
17,26955,2,20,578101,6303064,272889,125225,0,0,29081,298599,17574,7294,0,0,2018-08-15 12:39:38
18,28235,2,21,619432,6589413,289012,132188,0,0,41331,286349,16123,6963,0,0,2018-08-15 12:39:48
19,29515,2,22,636987,6899538,298466,137388,0,0,17555,310125,9454,5200,0,0,2018-08-15 12:39:58
20,30795,2,23,666118,7198087,316215,144740,0,0,29130,298549,17749,7352,0,0,2018-08-15 12:40:08
21,32075,2,24,697324,7494561,325437,149596,0,0,31206,296474,9222,4856,0,0,2018-08-15 12:40:18
22,33355,2,25,720516,7799049,338951,156025,0,0,23192,304488,13514,6429,0,0,2018-08-15 12:40:28
23,34635,2,26,781375,8065870,381873,169396,0,0,60858,266821,42922,13371,0,0,2018-08-15 12:40:38
24,35915,2,27,816910,8358015,393763,175079,0,0,35535,292145,11890,5683,0,0,2018-08-15 12:40:48
25,37195,2,28,831561,8671044,401477,179303,0,0,14651,313029,7714,4224,0,0,2018-08-15 12:40:58
26,38478,2,29,860560,8970922,410525,183966,0,0,28999,299878,9048,4663,0,0,2018-08-15 12:41:08
27,39755,2,30,893072,9264893,428853,191469,0,0,32511,293971,18328,7503,0,0,2018-08-15 12:41:18
28,41035,2,31,912801,9572844,439930,197030,0,0,19729,307951,11077,5561,0,0,2018-08-15 12:41:28
29,42320,2,32,946105,9868841,450486,202521,0,0,33304,295997,10556,5491,0,0,2018-08-15 12:41:38
30,43595,2,33,964859,10176146,460868,207806,0,0,18754,307305,10382,5285,0,0,2018-08-15 12:41:48
31,44875,2,34,992037,10476648,477745,214946,0,0,27178,300502,16877,7140,0,0,2018-08-15 12:41:58
32,46155,2,35,1026107,10770258,488881,220132,0,0,34070,293610,11136,5186,0,0,2018-08-15 12:42:08
33,47435,2,36,1047794,11076251,501120,225843,0,0,21687,305993,12239,5711,0,0,2018-08-15 12:42:18
34,48715,2,37,1077434,11374291,509297,230120,0,0,29640,298040,8177,4277,0,0,2018-08-15 12:42:28
35,49995,2,38,1098175,11681230,520665,236063,0,0,20741,306939,11368,5943,0,0,2018-08-15 12:42:38
36,51275,2,39,1123088,11983993,535513,242521,0,0,24913,302763,14848,6458,0,0,2018-08-15 12:42:48
37,52555,2,40,1173753,12261012,559061,251505,0,0,50664,277019,23548,8984,0,0,2018-08-15 12:42:58
38,53835,2,41,1191071,12571374,568515,256592,0,0,17318,310362,9454,5087,0,0,2018-08-15 12:43:08
39,55115,2,42,1207876,12882249,577564,261168,0,0,16805,310875,9049,4576,0,0,2018-08-15 12:43:18
40,56395,2,43,1249976,13167829,594384,268077,0,0,42100,285580,16820,6909,0,0,2018-08-15 12:43:28
41,57675,2,44,1278612,13466873,611726,275423,0,0,28636,299044,17342,7346,0,0,2018-08-15 12:43:38
42,58955,2,45,1312451,13760715,622862,281001,0,0,33839,293842,11136,5578,0,0,2018-08-15 12:43:48
43,60235,2,46,1330776,14070069,632896,286150,0,0,18325,309354,10034,5149,0,0,2018-08-15 12:43:58
44,61515,2,47,1354125,14374400,646700,292359,0,0,23349,304331,13804,6209,0,0,2018-08-15 12:44:08
45,62795,2,48,1390044,14666161,659170,298002,0,0,35919,291761,12470,5643,0,0,2018-08-15 12:44:18
46,64075,2,49,1405123,14979096,667174,302445,0,0,15079,312935,8004,4443,0,0,2018-08-15 12:44:28
47,65355,2,50,1442739,15268826,680688,308706,0,0,37616,289730,13514,6261,0,0,2018-08-15 12:44:38
48,66635,2,51,1467959,15571287,695420,315100,0,0,25220,302461,14732,6394,0,0,2018-08-15 12:44:48
49,67924,2,52,1511921,15857671,725756,325397,0,0,43962,286384,30336,10297,0,0,2018-08-15 12:44:58
50,69195,2,53,1563169,16131436,749653,334280,0,0,51247,273765,23897,8883,0,0,2018-08-15 12:45:08
51,70475,2,54,1590463,16431822,766009,341121,0,0,27294,300386,16356,6841,0,0,2018-08-15 12:45:18
52,71755,2,55,1607686,16742279,775347,345889,0,0,17223,310457,9338,4768,0,0,2018-08-15 12:45:28
53,73035,2,56,1642911,17034735,787121,351655,0,0,35225,292456,11774,5766,0,0,2018-08-15 12:45:38
54,74315,2,57,1661719,17343606,797561,356801,0,0,18807,308871,10440,5146,0,0,2018-08-15 12:45:48
55,75595,2,58,1676437,17656568,805159,361256,0,0,14718,312962,7598,4455,0,0,2018-08-15 12:45:58
56,76875,2,59,1713978,17946707,819021,367412,0,0,37541,290139,13862,6156,0,0,2018-08-15 12:46:08
57,78161,2,60,1730348,18259708,827895,371947,0,0,16370,313001,8874,4535,0,0,2018-08-15 12:46:18
58,79435,2,61,1767810,18548235,841176,378081,0,0,37462,288527,13281,6134,0,0,2018-08-15 12:46:28
59,80715,2,62,1795668,18848057,857938,385155,0,0,27858,299822,16762,7074,0,0,2018-08-15 12:46:38
60,81995,2,63,1819699,19151706,872147,391290,0,0,24031,303649,14209,6135,0,0,2018-08-15 12:46:48
61,83275,2,64,1858448,19440637,886763,397638,0,0,38749,288931,14616,6348,0,0,2018-08-15 12:46:58
62,84555,2,65,1877648,19749117,897377,402742,0,0,19200,308480,10614,5104,0,0,2018-08-15 12:47:08
