"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"1","1377","2.00","0","34474","298853","16124","9501","0","0","34474","298853","16124","9501","0","0","2018-08-31 16:59:07"
"2","2650","2.00","1","60454","598834","32769","18927","0","0","25979","299981","16645","9426","0","0","2018-08-31 16:59:17"
"3","3921","2.00","2","88392","896441","50632","29439","0","0","27938","297607","17863","10512","0","0","2018-08-31 16:59:27"
"4","5210","2.00","3","123059","1191588","63160","38081","0","0","34666","295147","12528","8642","0","0","2018-08-31 16:59:37"
"5","6490","2.00","4","146440","1495887","77602","47453","0","0","23380","304299","14442","9372","0","0","2018-08-31 16:59:47"
"6","7770","2.00","5","179802","1790205","99699","58855","0","0","33361","294318","22097","11402","0","0","2018-08-31 16:59:57"
"7","9050","2.00","6","190576","2107111","105151","66448","0","0","10773","316906","5452","7593","0","0","2018-08-31 17:00:07"
"8","10337","2.00","7","262977","2364151","144476","84356","0","0","72400","257040","39325","17908","0","0","2018-08-31 17:00:18"
"9","11610","2.00","8","284580","2668467","157120","95246","0","0","21602","304316","12644","10890","0","0","2018-08-31 17:00:27"
"10","12890","2.00","9","310449","2970278","173534","106170","0","0","25869","301811","16414","10924","0","0","2018-08-31 17:00:37"
"11","14170","2.00","10","350558","3257849","189774","118004","0","0","40109","287571","16240","11834","0","0","2018-08-31 17:00:47"
"12","15450","2.00","11","377727","3558360","206652","129707","0","0","27169","300511","16878","11703","0","0","2018-08-31 17:00:57"
"13","16730","2.00","12","396357","3867410","217440","139773","0","0","18630","309050","10788","10066","0","0","2018-08-31 17:01:07"
"14","18010","2.00","13","426810","4164637","237684","150513","0","0","30452","297227","20244","10740","0","0","2018-08-31 17:01:17"
"15","19290","2.00","14","466696","4452438","254562","160514","0","0","39885","287801","16878","10001","0","0","2018-08-31 17:01:27"
"16","20570","2.00","15","501613","4745194","277876","171711","0","0","34916","292756","23314","11197","0","0","2018-08-31 17:01:37"
"17","1370","2.00","0","40645","290968","21053","11213","0","0","40645","290968","21053","11213","0","0","2018-08-31 17:01:53"
"18","2650","2.00","1","89051","570236","55214","26420","0","0","48405","279268","34161","15207","0","0","2018-08-31 17:02:03"
"19","3921","2.00","2","128587","856214","82881","39594","0","0","39535","285978","27667","13174","0","0","2018-08-31 17:02:13"
"20","5210","2.00","3","200256","1114391","123832","56986","0","0","71669","258177","40951","17392","0","0","2018-08-31 17:02:23"
