"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","270","877.34","875.2199707","877.0200195","881.3499756","887.7800293","896.4500122","907.4899902","920.1199951","932.3099976","944.7999878","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","0.939999998","2018-06-26 17:28:58"
"2","280","989.06","977.6699829","966.6500244","956.75","948.5499878","942.75","940.1199951","940.7999878","943.6599731","949.2299805","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","0.949999988","2018-06-26 17:29:09"
"3","290","968.75","969.6400146","968.3300171","965.1500244","960.6699829","955.75","951.5700073","949.1900024","948.6799927","951.1799927","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","0.949999988","2018-06-26 17:29:19"
"4","300","1263.28","1233.910034","1204.290039","1173.839966","1142.22998","1109.51001","1076.25","1043.410034","1011.599976","982.3900146","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","0.959999979","2018-06-26 17:29:33"
"5","310","764.06","811.039978","852.0999756","886.9899902","915.3300171","936.789978","951.3699951","959.6099854","962.0900269","960.5599976","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","0.959999979","2018-06-26 17:29:43"
"6","320","1137.5","1104.849976","1080.420044","1062.339966","1048.630005","1037.140015","1025.819946","1012.969971","997.1699829","978.25","1","1","1","1","1","1","1","0.99000001","0.99000001","0.959999979","2018-06-26 17:29:55"
"7","330","894.53","915.5599976","931.7000122","944.8699951","956.1699829","965.8300171","973.2999878","977.4400024","976.6400146","969.8800049","1","1","1","1","1","1","1","0.99000001","0.99000001","0.970000029","2018-06-26 17:30:04"
"8","340","835.15","843.1900024","854.460022","868.0700073","883.5599976","900.4899902","918.039978","934.75","948.3400269","956.4099731","1","1","1","1","1","1","1","0.99000001","0.99000001","0.970000029","2018-06-26 17:30:15"
"9","350","1167.18","1134.780029","1104.640015","1077.449951","1053.72998","1033.839966","1017.700012","1004.47998","992.1099854","977.4799805","1","1","1","1","1","1","1","0.99000001","0.99000001","0.970000029","2018-06-26 17:30:27"
"10","360","950.78","969.1799927","981.5499878","988.7800293","991.960022","992.3099976","990.9299927","988.3699951","983.8400269","974.8099976","1","1","1","1","1","1","1","0.99000001","0.99000001","0.970000029","2018-06-26 17:30:38"
"11","370","982.03","980.7399902","981.9299927","984.0499878","986","987.1699829","987.3699951","986.4699707","983.4799805","975.5300293","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-26 17:30:49"
"12","380","867.18","878.539978","890.1300049","902.2399902","914.710022","927.1699829","939.289978","950.6799927","960.2199707","964.7000122","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-26 17:30:59"
"13","390","1053.9","1036.359985","1021.150024","1008.400024","998.2199707","990.539978","985.1400146","981.6500244","978.960022","973.6199951","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-26 17:31:10"
"14","400","1057.03","1054.959961","1049.849976","1042.439941","1033.51001","1023.780029","1013.890015","1004.26001","994.5700073","981.960022","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-26 17:31:22"
"15","410","718.75","752.3699951","784.9699707","815.8499756","844.6500244","871.2600098","895.8300171","918.6099854","939.4099731","955.6400146","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-26 17:31:30"
"16","420","656.25","665.8599854","681.9899902","704.1300049","731.6099854","763.75","800","839.9000244","882.7700195","925.7000122","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-26 17:31:38"
"17","430","950","921.5800171","896.3900146","876.2299805","862.6400146","856.8699951","860","872.9299927","896.2199707","928.1300049","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:31:48"
"18","440","1014.84","1005.51001","991.1500244","973.2600098","953.960022","935.8599854","921.9299927","915.5","919.9400024","936.7999878","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:31:59"
"19","450","900","910.5499878","918.2299805","921.9699707","921.5800171","917.9299927","913.1599731","910.8499756","915.9500122","933.1199951","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:32:09"
"20","460","848.43","854.6400146","862.3900146","870.4899902","877.6900024","883.1799927","887.2700195","892.1199951","902.4500122","924.6500244","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:32:19"
"21","470","904.68","899.6799927","896.2199707","894.4299927","893.8900146","893.9299927","894.2299805","895.8900146","902.9000244","922.6500244","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:32:29"
"22","480","842.18","847.9299927","852.9899902","857.8599854","862.8599854","868.0599976","873.4099731","879.7800293","890.75","914.6099854","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:32:39"
"23","490","1132.81","1104.319946","1076.839966","1050.319946","1024.829956","1000.429993","977.1699829","955.6900024","939.1599731","936.4299927","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:32:51"
"24","500","1220.31","1208.709961","1191.609985","1169.310059","1142.119995","1110.369995","1074.430054","1035.069946","995.3900146","964.8099976","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:33:04"
"25","510","1342.96","1329.540039","1312.689941","1290.869995","1262.619995","1226.670044","1181.839966","1127.439941","1064.910034","1002.630005","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:33:20"
"26","520","958.59","995.6799927","1029.410034","1058.27002","1080.199951","1092.630005","1092.540039","1076.790039","1043.640015","998.2299805","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:33:31"
"27","530","878.12","889.8800049","908.3800049","932.1699829","958.9500122","985.3699951","1006.77002","1017.190002","1010.539978","986.210022","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:33:41"
"28","540","1133.59","1109.219971","1088.550049","1073.160034","1063.72998","1059.47998","1057.5","1052.109985","1035.150024","1000.950012","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:33:52"
"29","550","818.75","847.789978","872.710022","895.0700073","916.7399902","939.1099854","962","982.0999756","991.8699951","982.7299805","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:34:03"
"30","560","1300.78","1255.47998","1215.160034","1179.060059","1147.160034","1119.939941","1097.51001","1077.699951","1053.650024","1014.539978","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:34:16"
"31","570","873.43","911.6400146","941.7800293","965.1199951","982.9199829","996.6900024","1007.880005","1016.419983","1017.609985","1000.429993","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:34:27"
"32","580","1008.59","998.8900146","995.2299805","995.5499878","998.3200073","1002.640015","1008.159973","1014.070007","1015.799988","1001.23999","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:34:38"
"33","590","1251.56","1226.290039","1200.290039","1174.75","1150.26001","1127.099976","1105.52002","1085.319946","1062.949951","1026.27002","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:34:52"
"34","600","857.81","894.6599731","926.2999878","952.8900146","974.789978","992.4500122","1006.440002","1017.059998","1021.919983","1009.429993","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:35:01"
"35","610","875","876.960022","885.2600098","898.3599854","914.9099731","933.7199707","953.8599854","974.4400024","992.539978","995.9799805","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:35:11"
"36","620","844.53","847.7700195","852.6699829","860.6799927","872.6799927","889.1300049","910.1300049","935.4699707","962.9400024","980.8400269","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:35:21"
"37","630","1138.28","1109.22998","1081.160034","1055","1032.040039","1013.700012","1001.390015","996.3099976","998","996.5800171","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:35:33"
"38","640","1060.15","1065.060059","1064.349976","1058.599976","1048.910034","1036.930054","1024.890015","1015.460022","1010.429993","1002.940002","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:35:45"
"39","650","931.25","944.6300049","957.8699951","969.4500122","978.3099976","984.0900269","987.4299927","990.2000122","994.5999756","995.7700195","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:35:56"
"40","660","1125","1106.959961","1091.569946","1078.329956","1066.319946","1054.540039","1042.459961","1030.640015","1020.679993","1008.690002","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:36:08"
"41","670","924.21","942.4899902","957.6799927","970.4500122","981.0599976","989.3800049","995.1599731","998.710022","1001.380005","1000.23999","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:36:19"
"42","680","1019.53","1011.820007","1007.159973","1004.799988","1004.140015","1004.450012","1004.909973","1004.950012","1005.01001","1002.169983","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:36:29"
"43","690","652.34","688.289978","723.2999878","758.0800171","793.0599976","828.4000244","863.8800049","899.1699829","934.4799805","967.1900024","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:36:37"
"44","700","1385.93","1316.170044","1253.410034","1197.579956","1148.780029","1107.160034","1072.699951","1045.199951","1024.77002","1009.059998","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:36:52"
"45","710","860.93","906.460022","939.4299927","961.9299927","976.0700073","984.0499878","987.9899902","989.9199829","992","994.25","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:37:02"
"46","720","932.03","929.4699707","933.5100098","941","949.6400146","958.039978","965.6099854","972.5499878","980.0100098","988.0300293","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:37:11"
"47","730","933.59","933.1799927","933.5700073","935.8099976","940.0100098","945.8099976","952.7999878","960.8599854","970.7199707","982.5800171","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:37:23"
"48","740","1093.75","1077.689941","1061.709961","1046.359985","1032.25","1019.780029","1009.179993","1000.72998","995.3300171","993.7000122","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:37:35"
"49","750","1245.31","1228.550049","1208.589966","1185.619995","1160.089966","1132.540039","1103.630005","1074.099976","1045.319946","1018.859985","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:37:49"
"50","760","677.34","732.460022","783.5900269","829.8200073","870.4400024","904.9400024","933.1099854","955.0700073","971.7299805","984.710022","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-26 17:37:57"
