"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","60","56.25","55.49000168","54.72999954","53.97999954","53.22000122","52.47000122","51.70999908","50.95999908","50.20000076","49.45000076","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:05:08"
"2","90","42.96","44.22000122","45.31999969","46.27000046","47.06999969","47.72000122","48.20999908","48.56000137","48.75999832","48.79999924","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:05:39"
"3","120","54.42","53.40000153","52.59999847","51.97999954","51.47999954","51.06999969","50.70000076","50.31999969","49.88999939","49.36000061","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:06:08"
"4","150","112.76","106.8199997","100.7200012","94.51999664","88.25","81.91000366","75.51999664","69.05000305","62.45999908","55.70000076","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:06:48"
"5","180","41.4","47.93999863","53.27000046","57.34000015","60.13999939","61.65999985","61.86999893","60.75999832","58.25","54.27000046","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:07:20"
"6","210","134.11","125.4899979","117.9400024","111.0800018","104.5199966","97.87999725","90.76999664","82.76000214","73.41999817","62.25999832","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:07:49"
"7","240","116.66","117.5400009","116.9199982","114.9899979","111.8099976","107.2699966","101.1299973","92.93000031","82.06999969","67.69999695","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:08:20"
"8","270","54.94","61.20000076","67.33999634","72.95999908","77.69000244","81.11000061","82.65000153","81.52999878","76.63999939","66.41999817","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:08:56"
"9","300","100","96.12000275","93.45999908","91.87999725","91.06999969","90.55000305","89.58999634","87.06999969","81.30999756","69.77999878","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:09:24"
"10","330","126.82","123.75","120.1500015","116.3399963","112.5199966","108.6800003","104.4800034","99","90.41999817","75.48000336","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:10:02"
"11","360","91.14","94.40000153","96.94000244","98.69999695","99.69000244","99.91000366","99.13999939","96.63999939","90.55999756","77.05000305","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:10:33"
"12","390","39.32","44.83000183","50.84000015","57.13000107","63.47000122","69.62000275","75.20999908","79.44000244","80.30999756","73.26999664","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:11:07"
"13","420","116.66","109.4800034","103.5","98.80000305","95.37999725","93.13999939","91.79000092","90.61000061","87.58000183","77.61000061","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:11:31"
"14","450","165.62","160.0099945","153.1999969","145.5700073","137.5299988","129.3800049","121.3199997","113.1100006","103.1900024","86.41000366","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:12:01"
"15","480","24.21","37.79000092","50.00999832","60.61999893","69.54000092","76.80000305","82.48000336","86.44000244","87.38999939","80.19000244","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:12:31"
"16","510","52.86","51.34999847","52.29000092","55.18999863","59.52999878","64.83000183","70.62999725","76.37000275","80.48999786","77.45999908","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:13:03"
"17","540","11.97","15.90999985","20.04000092","24.94000053","31","38.40000153","47.16999817","57.04999924","66.77999878","70.91000366","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:13:40"
"18","570","48.43","45.18000031","42.75","41.38000107","41.45999908","43.41999817","47.66999817","54.45999908","63.11000061","68.66000366","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:14:10"
"19","600","82.03","78.33999634","74.16999817","69.83000183","65.80000305","62.72000122","61.41999817","62.72999954","66.90000153","70","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:14:33"
"20","630","78.12","78.13999939","77.33000183","75.62999725","73.19000244","70.41999817","68.09999847","67.34999847","69.13999939","70.80999756","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:15:03"
"21","660","193.48","181.9499969","170.25","158.1300049","145.3699951","131.9499969","118.25","105.1900024","94.01000214","83.08000183","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:15:36"
"22","690","73.69","84.51999664","93.01000214","99.01999664","102.3600006","102.8199997","100.4300003","95.73999786","89.94999695","82.13999939","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:16:05"
"23","720","82.81","82.98000336","84.84999847","87.66999817","90.62999725","92.81999969","93.37999725","91.86000061","88.51999664","82.20999908","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:16:40"
"24","750","40.62","44.86000061","49.47000122","54.74000168","60.61999893","66.72000122","72.27999878","76.48999786","78.94000244","78.05000305","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:17:08"
"25","780","14.58","17.61000061","21.55999947","26.62999916","33","40.65000153","49.20000076","57.91999817","66.06999969","71.69999695","0","0","0","0","0","0","0","0","0","0","2018-08-08 12:17:44"
