"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","370","832.03","885.7700195","931.1300049","968.6900024","998.2800293","1018.919983","1028.969971","1026.469971","1009.969971","979.3200073","1","1","1","1","1","1","1","0.99000001","0.99000001","0.970000029","2018-06-22 16:24:42"
"2","380","1088.28","1068.030029","1056.849976","1052.400024","1052.280029","1053.599976","1052.699951","1045.02002","1025.630005","990.210022","1","1","1","1","1","1","1","0.99000001","0.99000001","0.970000029","2018-06-22 16:24:53"
"3","390","1075","1074.300049","1071.369995","1068.219971","1065.910034","1064.300049","1061.619995","1054.01001","1035.5","998.6900024","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-22 16:25:07"
"4","400","890.62","908.9899902","926.7700195","943.9000244","960.7299805","977.460022","993.2199707","1004.98999","1006.52002","987.8800049","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-22 16:25:17"
"5","410","676.56","699.7999878","726.5999756","756.7600098","790.2299805","827.0100098","866.5499878","906.460022","940.5300293","956.75","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-22 16:25:25"
"6","420","862.5","846.2299805","835.3200073","830.7700195","833.5900269","844.75","864.9299927","893.2700195","924.9199829","947.3200073","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-22 16:25:35"
"7","430","735.93","746.960022","755.8099976","764.3900146","774.9899902","790.3400269","813.3300171","846.0700073","887.1300049","926.1900024","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-22 16:25:43"
"8","440","1108.59","1072.430054","1038.030029","1005.330017","975.1500244","949.4699707","931.4299927","924.8300171","931.4199829","944.4299927","1","1","1","1","1","1","1","0.99000001","0.99000001","0.980000019","2018-06-22 16:25:53"
"9","450","729.68","763.960022","791.3499756","812.3800049","827.8699951","839.5700073","850.7299805","866.2800293","891.0700073","922.9500122","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:26:03"
"10","460","1063.28","1033.339966","1008.890015","988.0100098","969.1099854","951.4299927","935.75","925.3800049","925.5100098","936.9799805","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:26:12"
"11","470","763.28","790.2800293","812.4000244","830.7000122","845.6099854","857.3499756","866.7600098","876.75","893.0700073","919.6099854","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:26:22"
"12","480","848.43","842.6199951","841.2299805","843.1099854","847.2999878","852.8900146","859.4299927","868.25","884.1400146","912.4899902","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:26:32"
"13","490","1126.56","1098.160034","1069.48999","1041.52002","1014.859985","989.7199707","966.2800293","945.75","932.6199951","933.9000244","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:26:44"
"14","500","910.93","929.6599731","942.6400146","950.1099854","952.5","950.3300171","944.1400146","935.2999878","928.2800293","931.5999756","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:26:54"
"15","510","925.78","926.1599731","929.1500244","933.0800171","936.4699707","938.0499878","936.7999878","932.4400024","927.7800293","931.0200195","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:03"
"16","520","667.18","693.0800171","719.5800171","746.9500122","774.9000244","802.6199951","828.9500122","852.8699951","875.6599731","904.6400146","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:12"
"17","530","1073.43","1035.400024","1002.659973","975.4899902","954.0200195","938.0200195","926.7399902","919.039978","915.2199707","921.5200195","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:24"
"18","540","838.28","857.9899902","871.1500244","879.4400024","884.5700073","888.1500244","891.3599854","894.8099976","899.8300171","913.1900024","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:32"
"19","550","769.53","778.3699951","789.8499756","802.5","815.539978","828.8400269","842.6199951","857.2199707","873.7700195","898.8300171","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:41"
"20","560","740.62","744.4000244","750.4699707","759.1799927","770.5900269","784.7299805","801.8200073","822.2399902","847.1400146","883.0100098","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:50"
"21","570","923.43","905.5300293","888.8400269","874.1599731","862.2999878","854.0800171","850.4699707","852.5999756","862.4000244","887.0499878","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:27:59"
"22","580","940.62","937.1099854","930.2600098","920.6799927","909.289978","897.3499756","886.5300293","879.0100098","878.039978","892.4099731","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:28:10"
"23","590","904.68","907.9299927","909.7999878","909.4799805","906.5300293","901.0200195","893.789978","886.710022","883.3699951","893.6300049","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:28:21"
"24","600","745.31","761.5700073","778.210022","794.5599976","809.789978","823.1599731","834.4000244","844.289978","855.7600098","878.7999878","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:28:29"
"25","610","1003.12","978.960022","958.1400146","940.5499878","925.789978","913.1400146","901.8900146","891.9400024","885.2299805","891.2299805","1","1","1","1","1","1","1","0.99000001","0.99000001","0.99000001","2018-06-22 16:28:40"
