"id","nodeID","seqno","x","y","parent_plot","est_int","date"
"51838","2.00","1515","60","30","1.00","1515","2018-09-20 16:06:11"
"51839","1.00","0","110","30","1.00","0","2018-09-20 16:06:11"
"51840","5.00","1293","10","20","2.00","1293","2018-09-20 16:06:11"
"51841","1.00","0","110","30","1.00","0","2018-09-20 16:06:11"
"51842","4.00","1395","60","20","2.00","1395","2018-09-20 16:06:11"
"51843","1.00","0","110","30","1.00","0","2018-09-20 16:06:11"
"51844","3.00","905","10","30","5.00","905","2018-09-20 16:06:11"
"51845","1.00","0","110","30","1.00","0","2018-09-20 16:06:11"
"51846","2.00","1517","60","30","1.00","1517","2018-09-20 16:06:12"
"51847","1.00","0","110","30","1.00","0","2018-09-20 16:06:12"
"51848","5.00","1294","10","20","2.00","1294","2018-09-20 16:06:12"
"51849","1.00","0","110","30","1.00","0","2018-09-20 16:06:12"
"51850","3.00","906","10","30","5.00","906","2018-09-20 16:06:12"
"51851","1.00","0","110","30","1.00","0","2018-09-20 16:06:12"
"51852","2.00","1518","60","30","1.00","1518","2018-09-20 16:06:13"
"51853","1.00","0","110","30","1.00","0","2018-09-20 16:06:13"
"51854","4.00","1396","60","20","2.00","1396","2018-09-20 16:06:14"
"51855","1.00","0","110","30","1.00","0","2018-09-20 16:06:14"
"51856","4.00","1397","60","20","2.00","1397","2018-09-20 16:06:14"
"51857","1.00","0","110","30","1.00","0","2018-09-20 16:06:14"
"51858","4.00","1398","60","20","2.00","1398","2018-09-20 16:06:15"
"51859","1.00","0","110","30","1.00","0","2018-09-20 16:06:15"
"51860","5.00","1295","10","20","2.00","1295","2018-09-20 16:06:16"
"51861","1.00","0","110","30","1.00","0","2018-09-20 16:06:16"
"51862","3.00","907","10","30","5.00","907","2018-09-20 16:06:16"
"51863","1.00","0","110","30","1.00","0","2018-09-20 16:06:16"
"51864","5.00","1296","10","20","2.00","1296","2018-09-20 16:06:17"
"51865","1.00","0","110","30","1.00","0","2018-09-20 16:06:17"
"51866","2.00","1519","60","30","1.00","1519","2018-09-20 16:06:17"
