"id","nodeID","seqno","x","y","parent_plot","est_int","date"
"58332","3.00","79","10","30","1.00","79","2018-09-20 18:31:51"
"58333","1.00","0","110","30","1.00","0","2018-09-20 18:31:51"
"58334","2.00","45","60","30","3.00","45","2018-09-20 18:31:51"
"58335","1.00","0","110","30","1.00","0","2018-09-20 18:31:51"
"58336","2.00","49","60","30","3.00","49","2018-09-20 18:31:52"
"58337","1.00","0","110","30","1.00","0","2018-09-20 18:31:52"
"58338","2.00","50","60","30","3.00","50","2018-09-20 18:31:52"
"58339","1.00","0","110","30","1.00","0","2018-09-20 18:31:52"
"58340","3.00","80","10","30","1.00","80","2018-09-20 18:31:52"
"58341","1.00","0","110","30","1.00","0","2018-09-20 18:31:52"
"58342","4.00","107","60","20","3.00","107","2018-09-20 18:31:52"
"58343","1.00","0","110","30","1.00","0","2018-09-20 18:31:52"
"58344","2.00","52","60","30","3.00","52","2018-09-20 18:31:53"
"58345","1.00","0","110","30","1.00","0","2018-09-20 18:31:53"
"58346","4.00","113","60","20","3.00","113","2018-09-20 18:31:54"
"58347","1.00","0","110","30","1.00","0","2018-09-20 18:31:54"
"58348","4.00","117","60","20","3.00","117","2018-09-20 18:31:54"
"58349","1.00","0","110","30","1.00","0","2018-09-20 18:31:54"
"58350","3.00","81","10","30","1.00","81","2018-09-20 18:31:55"
"58351","1.00","0","110","30","1.00","0","2018-09-20 18:31:55"
"58352","4.00","118","60","20","3.00","118","2018-09-20 18:31:55"
"58353","1.00","0","110","30","1.00","0","2018-09-20 18:31:55"
"58354","3.00","82","10","30","1.00","82","2018-09-20 18:31:57"
"58355","1.00","0","110","30","1.00","0","2018-09-20 18:31:57"
"58356","5.00","117","10","20","3.00","117","2018-09-20 18:31:57"
"58357","1.00","0","110","30","1.00","0","2018-09-20 18:31:57"
"58358","2.00","53","60","30","3.00","53","2018-09-20 18:31:57"
"58359","1.00","0","110","30","1.00","0","2018-09-20 18:31:57"
"58360","4.00","122","60","20","3.00","122","2018-09-20 18:31:57"
"58361","1.00","0","110","30","1.00","0","2018-09-20 18:31:57"
"58362","2.00","54","60","30","3.00","54","2018-09-20 18:31:58"
"58363","1.00","0","110","30","1.00","0","2018-09-20 18:31:58"
"58364","7.00","108","10","10","5.00","108","2018-09-20 18:31:58"
"58365","1.00","0","110","30","1.00","0","2018-09-20 18:31:58"
"58366","3.00","83","10","30","1.00","83","2018-09-20 18:31:58"
"58367","1.00","0","110","30","1.00","0","2018-09-20 18:31:58"
"58368","5.00","118","10","20","3.00","118","2018-09-20 18:32:00"
"58369","1.00","0","110","30","1.00","0","2018-09-20 18:32:00"
"58370","5.00","119","10","20","3.00","119","2018-09-20 18:32:01"
"58371","1.00","0","110","30","1.00","0","2018-09-20 18:32:01"
"58372","3.00","84","10","30","1.00","84","2018-09-20 18:32:01"
"58373","1.00","0","110","30","1.00","0","2018-09-20 18:32:01"
"58374","3.00","85","10","30","1.00","85","2018-09-20 18:32:01"
"58375","1.00","0","110","30","1.00","0","2018-09-20 18:32:01"
"58376","5.00","120","10","20","3.00","120","2018-09-20 18:32:02"
"58377","1.00","0","110","30","1.00","0","2018-09-20 18:32:02"
"58378","3.00","86","10","30","1.00","86","2018-09-20 18:32:05"
"58379","1.00","0","110","30","1.00","0","2018-09-20 18:32:05"
"58380","4.00","124","60","20","3.00","124","2018-09-20 18:32:05"
"58381","1.00","0","110","30","1.00","0","2018-09-20 18:32:05"
"58382","3.00","87","10","30","1.00","87","2018-09-20 18:32:07"
"58383","1.00","0","110","30","1.00","0","2018-09-20 18:32:07"
"58384","5.00","121","10","20","3.00","121","2018-09-20 18:32:09"
"58385","1.00","0","110","30","1.00","0","2018-09-20 18:32:09"
"58386","5.00","122","10","20","3.00","122","2018-09-20 18:32:09"
"58387","1.00","0","110","30","1.00","0","2018-09-20 18:32:09"
"58388","3.00","88","10","30","1.00","88","2018-09-20 18:32:09"
"58389","1.00","0","110","30","1.00","0","2018-09-20 18:32:09"
"58390","5.00","123","10","20","3.00","123","2018-09-20 18:32:09"
"58391","1.00","0","110","30","1.00","0","2018-09-20 18:32:09"
"58392","3.00","89","10","30","1.00","89","2018-09-20 18:32:10"
"58393","1.00","0","110","30","1.00","0","2018-09-20 18:32:10"
"58394","5.00","115","10","20","4.00","115","2018-09-20 18:32:11"
"58395","1.00","0","110","30","1.00","0","2018-09-20 18:32:11"
"58396","7.00","107","10","10","5.00","107","2018-09-20 18:32:12"
"58397","1.00","0","110","30","1.00","0","2018-09-20 18:32:12"
"58398","3.00","90","10","30","1.00","90","2018-09-20 18:32:14"
"58399","1.00","0","110","30","1.00","0","2018-09-20 18:32:14"
"58400","5.00","124","10","20","3.00","124","2018-09-20 18:32:18"
"58401","1.00","0","110","30","1.00","0","2018-09-20 18:32:18"
"58402","3.00","91","10","30","1.00","91","2018-09-20 18:32:18"
"58403","1.00","0","110","30","1.00","0","2018-09-20 18:32:18"
"58404","5.00","125","10","20","3.00","125","2018-09-20 18:32:18"
"58405","1.00","0","110","30","1.00","0","2018-09-20 18:32:18"
"58406","4.00","133","60","20","3.00","133","2018-09-20 18:32:22"
"58407","1.00","0","110","30","1.00","0","2018-09-20 18:32:22"
"58408","3.00","93","10","30","1.00","93","2018-09-20 18:32:22"
"58409","1.00","0","110","30","1.00","0","2018-09-20 18:32:22"
"58410","3.00","94","10","30","1.00","94","2018-09-20 18:32:22"
"58411","1.00","0","110","30","1.00","0","2018-09-20 18:32:22"
"58412","5.00","128","10","20","3.00","128","2018-09-20 18:32:22"
"58413","1.00","0","110","30","1.00","0","2018-09-20 18:32:22"
"58414","5.00","130","10","20","3.00","130","2018-09-20 18:32:22"
"58415","1.00","0","110","30","1.00","0","2018-09-20 18:32:22"
"58416","7.00","121","10","10","5.00","121","2018-09-20 18:32:23"
"58417","1.00","0","110","30","1.00","0","2018-09-20 18:32:23"
"58418","2.00","56","60","30","3.00","56","2018-09-20 18:32:23"
"58419","1.00","0","110","30","1.00","0","2018-09-20 18:32:23"
"58420","7.00","122","10","10","5.00","122","2018-09-20 18:32:24"
"58421","1.00","0","110","30","1.00","0","2018-09-20 18:32:24"
"58422","3.00","96","10","30","1.00","96","2018-09-20 18:32:24"
"58423","1.00","0","110","30","1.00","0","2018-09-20 18:32:24"
"58424","2.00","57","60","30","3.00","57","2018-09-20 18:32:24"
"58425","1.00","0","110","30","1.00","0","2018-09-20 18:32:24"
"58426","5.00","131","10","20","3.00","131","2018-09-20 18:32:25"
"58427","1.00","0","110","30","1.00","0","2018-09-20 18:32:25"
"58428","3.00","97","10","30","1.00","97","2018-09-20 18:32:26"
"58429","1.00","0","110","30","1.00","0","2018-09-20 18:32:26"
"58430","7.00","123","10","10","5.00","123","2018-09-20 18:32:27"
"58431","1.00","0","110","30","1.00","0","2018-09-20 18:32:27"
"58432","5.00","132","10","20","3.00","132","2018-09-20 18:32:27"
"58433","1.00","0","110","30","1.00","0","2018-09-20 18:32:27"
"58434","3.00","98","10","30","1.00","98","2018-09-20 18:32:28"
"58435","1.00","0","110","30","1.00","0","2018-09-20 18:32:28"
"58436","5.00","133","10","20","3.00","133","2018-09-20 18:32:28"
"58437","1.00","0","110","30","1.00","0","2018-09-20 18:32:28"
