"id","seqno","nodeID","date"
"2323","383","9.00","2018-09-23 16:17:39.313119"
"2324","384","9.00","2018-09-23 16:17:40.813422"
"2325","385","9.00","2018-09-23 16:17:42.814688"
"2326","386","9.00","2018-09-23 16:17:43.572121"
"2327","387","9.00","2018-09-23 16:17:45.313850"
"2328","388","9.00","2018-09-23 16:17:45.824781"
"2329","389","9.00","2018-09-23 16:17:46.565836"
"2330","390","9.00","2018-09-23 16:17:47.072524"
"2331","391","9.00","2018-09-23 16:17:47.931069"
"2332","392","9.00","2018-09-23 16:17:49.756387"
"2333","393","9.00","2018-09-23 16:17:50.845664"
"2334","394","9.00","2018-09-23 16:17:50.939032"
"2335","395","9.00","2018-09-23 16:17:52.064710"
"2336","396","9.00","2018-09-23 16:17:53.064644"
"2337","397","9.00","2018-09-23 16:17:54.939546"
"2338","398","9.00","2018-09-23 16:17:55.189777"
"2339","399","9.00","2018-09-23 16:17:56.745955"
"2340","400","9.00","2018-09-23 16:17:57.189681"
"2341","401","9.00","2018-09-23 16:17:57.697195"
"2342","402","9.00","2018-09-23 16:17:59.564772"
"2343","403","9.00","2018-09-23 16:17:59.832657"
"2344","404","9.00","2018-09-23 16:18:01.827918"
"2345","405","9.00","2018-09-23 16:18:02.809510"
"2346","406","9.00","2018-09-23 16:18:03.917499"
"2347","407","9.00","2018-09-23 16:18:04.689384"
"2348","408","9.00","2018-09-23 16:18:06.816062"
"2349","431","8.00","2018-09-23 16:18:07.813763"
"2350","409","9.00","2018-09-23 16:18:08.761076"
"2351","431","8.00","2018-09-23 16:18:08.825452"
"2352","432","8.00","2018-09-23 16:18:09.687726"
"2353","436","8.00","2018-09-23 16:18:09.936599"
"2354","410","9.00","2018-09-23 16:18:10.558641"
"2355","432","8.00","2018-09-23 16:18:11.014560"
"2356","436","8.00","2018-09-23 16:18:11.304477"
"2357","411","9.00","2018-09-23 16:18:11.564245"
"2358","412","9.00","2018-09-23 16:18:11.821132"
"2359","413","9.00","2018-09-23 16:18:13.467288"
"2360","438","8.00","2018-09-23 16:18:14.687901"
"2361","414","9.00","2018-09-23 16:18:15.065041"
"2362","439","8.00","2018-09-23 16:18:15.312192"
"2363","438","8.00","2018-09-23 16:18:15.997428"
"2364","415","9.00","2018-09-23 16:18:16.072111"
"2365","439","8.00","2018-09-23 16:18:16.564585"
"2366","416","9.00","2018-09-23 16:18:16.825207"
"2367","440","8.00","2018-09-23 16:18:16.868920"
"2368","441","8.00","2018-09-23 16:18:16.903846"
"2369","417","9.00","2018-09-23 16:18:17.069489"
"2370","444","8.00","2018-09-23 16:18:17.114293"
"2371","445","8.00","2018-09-23 16:18:17.188895"
"2372","440","8.00","2018-09-23 16:18:17.813850"
"2373","441","8.00","2018-09-23 16:18:18.065208"
"2374","444","8.00","2018-09-23 16:18:18.604417"
"2375","418","9.00","2018-09-23 16:18:18.937697"
"2376","445","8.00","2018-09-23 16:18:19.194414"
"2377","419","9.00","2018-09-23 16:18:19.691292"
"2378","420","9.00","2018-09-23 16:18:20.193230"
"2379","421","9.00","2018-09-23 16:18:20.446046"
"2380","422","9.00","2018-09-23 16:18:22.196864"
"2381","423","9.00","2018-09-23 16:18:23.314645"
"2382","424","9.00","2018-09-23 16:18:23.651505"
"2383","448","8.00","2018-09-23 16:18:24.067919"
"2384","425","9.00","2018-09-23 16:18:24.569143"
"2385","448","8.00","2018-09-23 16:18:25.070925"
"2386","426","9.00","2018-09-23 16:18:26.064448"
"2387","427","9.00","2018-09-23 16:18:27.064556"
"2388","428","9.00","2018-09-23 16:18:28.680394"
"2389","429","9.00","2018-09-23 16:18:29.424140"
"2390","430","9.00","2018-09-23 16:18:29.927242"
"2391","431","9.00","2018-09-23 16:18:30.933610"
"2392","432","9.00","2018-09-23 16:18:31.433778"
"2393","433","9.00","2018-09-23 16:18:32.059839"
"2394","434","9.00","2018-09-23 16:18:32.559082"
"2395","435","9.00","2018-09-23 16:18:33.058770"
"2396","436","9.00","2018-09-23 16:18:33.659709"
"2397","437","9.00","2018-09-23 16:18:34.314960"
"2398","438","9.00","2018-09-23 16:18:35.433573"
"2399","439","9.00","2018-09-23 16:18:35.683302"
"2400","449","8.00","2018-09-23 16:18:36.200309"
"2401","440","9.00","2018-09-23 16:18:36.688898"
"2402","449","8.00","2018-09-23 16:18:36.939169"
"2403","441","9.00","2018-09-23 16:18:38.683607"
"2404","442","9.00","2018-09-23 16:18:39.201651"
"2405","443","9.00","2018-09-23 16:18:40.440463"
"2406","444","9.00","2018-09-23 16:18:40.771120"
"2407","450","8.00","2018-09-23 16:18:40.802172"
"2408","445","9.00","2018-09-23 16:18:41.745312"
"2409","446","9.00","2018-09-23 16:18:42.632291"
"2410","450","8.00","2018-09-23 16:18:42.664237"
"2411","447","9.00","2018-09-23 16:18:43.689461"
"2412","448","9.00","2018-09-23 16:18:43.939483"
"2413","449","9.00","2018-09-23 16:18:45.814859"
"2414","450","9.00","2018-09-23 16:18:46.564330"
"2415","451","9.00","2018-09-23 16:18:47.066029"
"2416","452","9.00","2018-09-23 16:18:47.315109"
"2417","453","9.00","2018-09-23 16:18:47.938618"
