"id","seqno","nodeID","date"
"426","4","9.00","2018-10-09 16:29:37.709887"
"427","5","9.00","2018-10-09 16:30:01.834335"
"428","6","9.00","2018-10-09 16:30:31.410067"
"429","7","9.00","2018-10-09 16:30:58.209433"
"430","8","9.00","2018-10-09 16:31:25.904777"
"431","9","9.00","2018-10-09 16:31:57.584630"
"432","10","9.00","2018-10-09 16:32:28.464241"
"433","11","9.00","2018-10-09 16:32:49.959590"
"434","12","9.00","2018-10-09 16:33:07.459489"
"435","13","9.00","2018-10-09 16:33:24.585841"
"436","14","9.00","2018-10-09 16:33:43.834335"
"437","15","9.00","2018-10-09 16:34:00.334405"
"438","16","9.00","2018-10-09 16:34:16.960765"
"439","17","9.00","2018-10-09 16:34:43.959657"
"440","18","9.00","2018-10-09 16:35:14.334093"
"441","19","9.00","2018-10-09 16:35:41.834209"
"442","20","9.00","2018-10-09 16:35:57.959295"
"443","21","9.00","2018-10-09 16:36:26.713557"
"444","22","9.00","2018-10-09 16:36:55.084033"
"445","23","9.00","2018-10-09 16:37:24.155104"
"446","24","9.00","2018-10-09 16:37:45.838714"
"447","25","9.00","2018-10-09 16:38:08.333576"
"448","26","9.00","2018-10-09 16:38:25.333634"
"449","27","9.00","2018-10-09 16:38:55.083768"
"450","28","9.00","2018-10-09 16:39:26.582020"
"451","29","9.00","2018-10-09 16:39:45.081951"
"452","30","9.00","2018-10-09 16:40:10.707022"
"453","31","9.00","2018-10-09 16:40:32.832831"
"454","32","9.00","2018-10-09 16:40:58.455559"
"455","33","9.00","2018-10-09 16:41:26.455404"
"456","34","9.00","2018-10-09 16:41:50.579728"
"457","35","9.00","2018-10-09 16:42:10.079488"
"458","36","9.00","2018-10-09 16:42:28.954389"
"459","37","9.00","2018-10-09 16:42:59.703545"
"460","38","9.00","2018-10-09 16:43:22.578856"
"461","39","9.00","2018-10-09 16:43:41.828072"
"462","40","9.00","2018-10-09 16:44:05.454605"
"463","41","9.00","2018-10-09 16:44:33.531206"
"464","42","9.00","2018-10-09 16:45:05.327184"
"465","43","9.00","2018-10-09 16:45:34.327263"
"466","44","9.00","2018-10-09 16:46:01.577939"
"467","45","9.00","2018-10-09 16:46:19.701511"
"468","46","9.00","2018-10-09 16:46:36.084499"
"469","47","9.00","2018-10-09 16:46:58.957053"
"470","48","9.00","2018-10-09 16:47:18.950877"
"471","49","9.00","2018-10-09 16:47:35.575821"
"472","50","9.00","2018-10-09 16:48:02.450534"
"473","51","9.00","2018-10-09 16:48:29.200135"
"474","52","9.00","2018-10-09 16:48:49.074988"
"475","53","9.00","2018-10-09 16:49:09.449680"
"476","54","9.00","2018-10-09 16:49:35.573568"
"477","55","9.00","2018-10-09 16:49:58.699167"
"478","56","9.00","2018-10-09 16:50:27.828237"
"479","57","9.00","2018-10-09 16:50:52.831518"
"480","58","9.00","2018-10-09 16:51:20.207160"
"481","59","9.00","2018-10-09 16:51:47.822701"
"482","60","9.00","2018-10-09 16:52:12.198836"
"483","61","9.00","2018-10-09 16:52:32.572382"
"484","62","9.00","2018-10-09 16:53:03.947087"
"485","63","9.00","2018-10-09 16:53:28.446745"
"486","64","9.00","2018-10-09 16:53:51.586948"
"487","65","9.00","2018-10-09 16:54:09.321207"
"488","66","9.00","2018-10-09 16:54:32.201778"
"489","67","9.00","2018-10-09 16:55:01.320627"
"490","68","9.00","2018-10-09 16:55:20.696781"
"491","69","9.00","2018-10-09 16:55:45.254074"
"492","70","9.00","2018-10-09 16:56:03.827758"
"493","71","9.00","2018-10-09 16:56:27.819676"
"494","72","9.00","2018-10-09 16:56:44.194940"
"495","73","9.00","2018-10-09 16:57:06.069008"
"496","74","9.00","2018-10-09 16:57:35.319194"
"497","75","9.00","2018-10-09 16:57:56.013466"
"498","76","9.00","2018-10-09 16:58:25.943372"
"499","77","9.00","2018-10-09 16:58:53.942965"
"500","78","9.00","2018-10-09 16:59:12.193031"
"501","79","9.00","2018-10-09 16:59:41.641263"
"502","80","9.00","2018-10-09 16:59:59.317343"
"503","81","9.00","2018-10-09 17:00:24.817280"
"504","82","9.00","2018-10-09 17:00:46.198913"
"505","83","9.00","2018-10-09 17:01:10.446259"
"506","84","9.00","2018-10-09 17:01:32.441498"
"507","85","9.00","2018-10-09 17:02:01.691226"
"508","86","9.00","2018-10-09 17:02:27.815886"
"509","87","9.00","2018-10-09 17:02:49.815711"
"510","88","9.00","2018-10-09 17:03:13.690440"
"511","89","9.00","2018-10-09 17:03:31.190212"
"512","90","9.00","2018-10-09 17:03:55.565014"
"513","91","9.00","2018-10-09 17:04:12.572933"
"514","92","9.00","2018-10-09 17:04:39.043709"
"515","93","9.00","2018-10-09 17:05:04.939304"
"516","94","9.00","2018-10-09 17:05:27.563971"
"517","95","9.00","2018-10-09 17:05:52.940064"
"518","96","9.00","2018-10-09 17:06:15.313592"
"519","97","9.00","2018-10-09 17:06:39.437908"
"520","98","9.00","2018-10-09 17:07:03.938223"
"521","99","9.00","2018-10-09 17:07:32.312594"
"522","100","9.00","2018-10-09 17:07:58.446418"
"523","101","9.00","2018-10-09 17:08:20.687396"
"524","102","9.00","2018-10-09 17:08:51.936513"
"525","103","9.00","2018-10-09 17:09:17.319776"
"526","104","9.00","2018-10-09 17:09:39.811538"
"527","105","9.00","2018-10-09 17:10:10.811301"
"528","106","9.00","2018-10-09 17:10:27.810707"
"529","107","9.00","2018-10-09 17:10:47.560963"
"530","108","9.00","2018-10-09 17:11:06.310748"
"531","109","9.00","2018-10-09 17:11:30.310480"
"532","110","9.00","2018-10-09 17:11:54.560192"
"533","111","9.00","2018-10-09 17:12:15.185101"
"534","112","9.00","2018-10-09 17:12:42.810232"
"535","113","9.00","2018-10-09 17:13:09.822704"
"536","114","9.00","2018-10-09 17:13:36.309229"
"537","115","9.00","2018-10-09 17:14:01.058783"
"538","116","9.00","2018-10-09 17:14:25.308678"
"539","117","9.00","2018-10-09 17:14:51.183521"
"540","118","9.00","2018-10-09 17:15:21.057904"
"541","119","9.00","2018-10-09 17:15:46.683221"
"542","120","9.00","2018-10-09 17:16:16.322283"
"543","121","9.00","2018-10-09 17:16:42.682294"
"544","122","9.00","2018-10-09 17:17:14.307145"
"545","123","9.00","2018-10-09 17:17:33.931927"
"546","124","9.00","2018-10-09 17:18:04.806641"
"547","125","9.00","2018-10-09 17:18:23.556524"
"548","126","9.00","2018-10-09 17:18:40.556276"
"549","127","9.00","2018-10-09 17:19:05.432215"
"550","128","9.00","2018-10-09 17:19:25.180872"
"551","129","9.00","2018-10-09 17:19:49.805434"
"552","130","9.00","2018-10-09 17:20:13.680117"
"553","131","9.00","2018-10-09 17:20:40.064121"
"554","132","9.00","2018-10-09 17:21:01.930091"
"555","133","9.00","2018-10-09 17:21:26.805068"
"556","134","9.00","2018-10-09 17:21:51.304419"
"557","135","9.00","2018-10-09 17:22:18.179295"
"558","136","9.00","2018-10-09 17:22:37.054087"
"559","137","9.00","2018-10-09 17:22:53.256772"
