"id","seqno","nodeID","date"
"19399","426","2.00","2018-09-23 10:42:59.915828"
"19400","378","9.00","2018-09-23 10:42:59.920318"
"19401","291","7.00","2018-09-23 10:43:00.145663"
"19402","379","9.00","2018-09-23 10:43:06.905815"
"19403","295","7.00","2018-09-23 10:43:06.909571"
"19404","227","3.00","2018-09-23 10:43:06.920287"
"19405","388","9.00","2018-09-23 10:43:07.026669"
"19406","433","2.00","2018-09-23 10:43:07.156173"
"19407","389","9.00","2018-09-23 10:43:07.402725"
"19408","803","6.00","2018-09-23 10:43:08.157750"
"19409","804","6.00","2018-09-23 10:43:08.406281"
"19410","805","6.00","2018-09-23 10:43:08.410281"
"19411","836","4.00","2018-09-23 10:43:08.647504"
"19412","233","3.00","2018-09-23 10:43:09.155686"
"19413","806","6.00","2018-09-23 10:43:09.163015"
"19414","296","8.00","2018-09-23 10:43:09.405484"
"19415","417","5.00","2018-09-23 10:43:09.651421"
"19416","434","2.00","2018-09-23 10:43:09.781853"
"19417","298","7.00","2018-09-23 10:43:12.285228"
"19418","435","2.00","2018-09-23 10:43:12.288408"
"19419","299","7.00","2018-09-23 10:43:12.305332"
"19420","300","7.00","2018-09-23 10:43:12.310336"
"19421","390","9.00","2018-09-23 10:43:12.579996"
"19422","436","2.00","2018-09-23 10:43:13.019102"
"19423","297","8.00","2018-09-23 10:43:15.159643"
"19424","298","8.00","2018-09-23 10:43:15.164177"
"19425","235","3.00","2018-09-23 10:43:15.177926"
"19426","391","9.00","2018-09-23 10:43:15.182854"
"19427","437","2.00","2018-09-23 10:43:15.781856"
"19428","303","7.00","2018-09-23 10:43:16.779312"
"19429","419","5.00","2018-09-23 10:43:18.104546"
"19430","438","2.00","2018-09-23 10:43:18.108353"
"19431","420","5.00","2018-09-23 10:43:18.112373"
"19432","236","3.00","2018-09-23 10:43:18.117258"
"19433","301","8.00","2018-09-23 10:43:18.275008"
"19434","304","7.00","2018-09-23 10:43:18.401719"
"19435","838","4.00","2018-09-23 10:43:20.394814"
"19436","839","4.00","2018-09-23 10:43:22.284522"
"19437","840","4.00","2018-09-23 10:43:22.288505"
"19438","439","2.00","2018-09-23 10:43:22.298480"
"19439","842","4.00","2018-09-23 10:43:23.280520"
"19440","844","4.00","2018-09-23 10:43:23.284067"
"19441","303","8.00","2018-09-23 10:43:26.910028"
"19442","813","6.00","2018-09-23 10:43:26.913832"
"19443","306","7.00","2018-09-23 10:43:26.932240"
"19444","845","4.00","2018-09-23 10:43:26.936140"
"19445","308","7.00","2018-09-23 10:43:27.276383"
"19446","242","3.00","2018-09-23 10:43:27.650363"
"19447","847","4.00","2018-09-23 10:43:27.775028"
"19448","305","8.00","2018-09-23 10:43:28.160445"
"19449","399","9.00","2018-09-23 10:43:28.164260"
"19450","815","6.00","2018-09-23 10:43:28.169925"
"19451","243","3.00","2018-09-23 10:43:28.399275"
"19452","309","7.00","2018-09-23 10:43:28.779853"
