"id","seqno","nodeID","date"
"12832","296","9.00","2018-09-23 16:16:56.500785"
"12833","486","6.00","2018-09-23 16:17:01.240812"
"12834","490","6.00","2018-09-23 16:17:02.374468"
"12835","492","6.00","2018-09-23 16:17:02.396306"
"12836","461","3.00","2018-09-23 16:17:02.407026"
"12837","480","3.00","2018-09-23 16:17:02.420746"
"12838","497","3.00","2018-09-23 16:17:02.432672"
"12839","524","3.00","2018-09-23 16:17:02.444450"
"12840","544","3.00","2018-09-23 16:17:02.456303"
"12841","566","3.00","2018-09-23 16:17:02.468071"
"12842","662","2.00","2018-09-23 16:17:02.478642"
"12843","297","9.00","2018-09-23 16:17:02.888110"
"12844","298","9.00","2018-09-23 16:17:02.899471"
"12845","305","9.00","2018-09-23 16:17:02.911508"
"12846","317","9.00","2018-09-23 16:17:02.923222"
"12847","330","9.00","2018-09-23 16:17:02.935042"
"12848","334","9.00","2018-09-23 16:17:02.946825"
"12849","347","9.00","2018-09-23 16:17:02.962779"
"12850","348","9.00","2018-09-23 16:17:02.974523"
"12851","353","9.00","2018-09-23 16:17:04.427399"
"12852","354","9.00","2018-09-23 16:17:04.438883"
"12853","477","5.00","2018-09-23 16:17:08.750498"
"12854","483","5.00","2018-09-23 16:17:08.839398"
"12855","354","9.00","2018-09-23 16:17:12.875040"
"12856","663","2.00","2018-09-23 16:17:12.878431"
"12857","494","6.00","2018-09-23 16:17:13.992686"
"12858","355","9.00","2018-09-23 16:17:14.613592"
"12859","356","9.00","2018-09-23 16:17:14.923039"
"12860","357","9.00","2018-09-23 16:17:14.941896"
"12861","359","9.00","2018-09-23 16:17:14.960645"
"12862","360","9.00","2018-09-23 16:17:14.979819"
"12863","668","2.00","2018-09-23 16:17:15.853910"
"12864","669","2.00","2018-09-23 16:17:17.009673"
"12865","495","6.00","2018-09-23 16:17:19.253755"
"12866","485","5.00","2018-09-23 16:17:19.318715"
"12867","487","5.00","2018-09-23 16:17:19.330402"
"12868","490","5.00","2018-09-23 16:17:19.342420"
"12869","496","5.00","2018-09-23 16:17:19.354277"
"12870","497","5.00","2018-09-23 16:17:19.569324"
"12871","501","5.00","2018-09-23 16:17:19.580983"
"12872","670","2.00","2018-09-23 16:17:23.228789"
"12873","501","5.00","2018-09-23 16:17:24.255064"
"12874","514","5.00","2018-09-23 16:17:25.574804"
"12875","521","5.00","2018-09-23 16:17:25.593619"
"12876","366","9.00","2018-09-23 16:17:25.749254"
"12877","367","9.00","2018-09-23 16:17:25.768127"
"12878","523","5.00","2018-09-23 16:17:27.501847"
"12879","497","6.00","2018-09-23 16:17:33.520920"
"12880","347","8.00","2018-09-23 16:17:33.532413"
"12881","349","8.00","2018-09-23 16:17:33.544360"
"12882","352","8.00","2018-09-23 16:17:33.556292"
"12883","505","6.00","2018-09-23 16:17:33.567976"
"12884","513","6.00","2018-09-23 16:17:33.579727"
"12885","521","6.00","2018-09-23 16:17:33.591434"
"12886","529","6.00","2018-09-23 16:17:33.605267"
"12887","524","5.00","2018-09-23 16:17:34.370684"
"12888","672","2.00","2018-09-23 16:17:40.863326"
"12889","525","5.00","2018-09-23 16:17:41.245729"
"12890","533","6.00","2018-09-23 16:17:42.270828"
"12891","534","6.00","2018-09-23 16:17:42.282392"
"12892","535","6.00","2018-09-23 16:17:42.289574"
"12893","452","7.00","2018-09-23 16:17:43.022092"
"12894","369","9.00","2018-09-23 16:17:44.301921"
"12895","370","9.00","2018-09-23 16:17:44.313350"
"12896","371","9.00","2018-09-23 16:17:44.325412"
"12897","372","9.00","2018-09-23 16:17:44.336987"
"12898","373","9.00","2018-09-23 16:17:44.348923"
"12899","374","9.00","2018-09-23 16:17:44.368015"
"12900","536","6.00","2018-09-23 16:17:46.424714"
"12901","537","6.00","2018-09-23 16:17:46.443629"
"12902","540","6.00","2018-09-23 16:17:46.462362"
"12903","542","6.00","2018-09-23 16:17:46.481397"
"12904","375","9.00","2018-09-23 16:17:47.701442"
"12905","526","5.00","2018-09-23 16:17:50.362739"
"12906","621","3.00","2018-09-23 16:17:52.196161"
"12907","527","5.00","2018-09-23 16:17:53.617565"
"12908","543","6.00","2018-09-23 16:17:54.646410"
"12909","544","6.00","2018-09-23 16:17:54.662449"
"12910","545","6.00","2018-09-23 16:17:54.669196"
"12911","546","6.00","2018-09-23 16:17:55.625530"
"12912","529","5.00","2018-09-23 16:17:57.367830"
"12913","547","6.00","2018-09-23 16:17:57.396436"
"12914","549","6.00","2018-09-23 16:17:57.415034"
"12915","549","6.00","2018-09-23 16:17:57.737036"
"12916","550","6.00","2018-09-23 16:17:57.743204"
"12917","379","8.00","2018-09-23 16:17:58.738281"
"12918","700","2.00","2018-09-23 16:17:58.870619"
"12919","552","6.00","2018-09-23 16:17:59.504630"
"12920","553","6.00","2018-09-23 16:17:59.573812"
"12921","554","6.00","2018-09-23 16:17:59.605718"
"12922","711","2.00","2018-09-23 16:17:59.608128"
"12923","555","6.00","2018-09-23 16:18:00.870260"
"12924","558","6.00","2018-09-23 16:18:01.258269"
"12925","381","8.00","2018-09-23 16:18:01.270920"
"12926","559","6.00","2018-09-23 16:18:01.286728"
"12927","560","6.00","2018-09-23 16:18:01.298363"
"12928","561","6.00","2018-09-23 16:18:01.310128"
"12929","562","6.00","2018-09-23 16:18:01.321992"
"12930","563","6.00","2018-09-23 16:18:01.333484"
"12931","564","6.00","2018-09-23 16:18:02.256848"
"12932","713","2.00","2018-09-23 16:18:02.353790"
"12933","565","6.00","2018-09-23 16:18:02.620143"
"12934","714","2.00","2018-09-23 16:18:02.737749"
"12935","530","5.00","2018-09-23 16:18:04.254770"
"12936","531","5.00","2018-09-23 16:18:04.259935"
"12937","537","5.00","2018-09-23 16:18:04.281244"
"12938","538","5.00","2018-09-23 16:18:04.294037"
"12939","544","5.00","2018-09-23 16:18:04.305979"
"12940","551","5.00","2018-09-23 16:18:04.317920"
"12941","553","5.00","2018-09-23 16:18:04.329790"
"12942","382","9.00","2018-09-23 16:18:06.051820"
"12943","387","9.00","2018-09-23 16:18:06.063682"
"12944","388","9.00","2018-09-23 16:18:06.075518"
"12945","389","9.00","2018-09-23 16:18:06.082138"
"12946","390","9.00","2018-09-23 16:18:06.089337"
"12947","718","2.00","2018-09-23 16:18:07.489470"
"12948","566","6.00","2018-09-23 16:18:08.645718"
"12949","567","6.00","2018-09-23 16:18:08.657422"
"12950","721","2.00","2018-09-23 16:18:09.742576"
"12951","391","9.00","2018-09-23 16:18:10.863383"
"12952","622","3.00","2018-09-23 16:18:13.792999"
"12953","624","3.00","2018-09-23 16:18:13.804505"
"12954","625","3.00","2018-09-23 16:18:13.836049"
"12955","568","6.00","2018-09-23 16:18:18.266143"
"12956","569","6.00","2018-09-23 16:18:18.284959"
"12957","570","6.00","2018-09-23 16:18:18.303989"
"12958","571","6.00","2018-09-23 16:18:18.323136"
"12959","572","6.00","2018-09-23 16:18:18.347276"
"12960","384","8.00","2018-09-23 16:18:18.349458"
"12961","392","9.00","2018-09-23 16:18:19.523812"
"12962","563","5.00","2018-09-23 16:18:19.944693"
"12963","564","5.00","2018-09-23 16:18:19.968559"
"12964","565","5.00","2018-09-23 16:18:19.975403"
"12965","578","6.00","2018-09-23 16:18:22.113069"
"12966","731","2.00","2018-09-23 16:18:22.239341"
"12967","736","2.00","2018-09-23 16:18:27.362817"
"12968","405","9.00","2018-09-23 16:18:29.362947"
"12969","408","9.00","2018-09-23 16:18:29.612943"
"12970","409","9.00","2018-09-23 16:18:29.886652"
"12971","431","8.00","2018-09-23 16:18:29.889397"
"12972","410","9.00","2018-09-23 16:18:29.905471"
"12973","432","8.00","2018-09-23 16:18:29.929972"
"12974","436","8.00","2018-09-23 16:18:29.932376"
"12975","419","9.00","2018-09-23 16:18:29.948903"
"12976","430","9.00","2018-09-23 16:18:29.967825"
"12977","431","9.00","2018-09-23 16:18:31.006998"
"12978","744","2.00","2018-09-23 16:18:31.870716"
"12979","580","6.00","2018-09-23 16:18:32.880276"
"12980","746","2.00","2018-09-23 16:18:32.882706"
"12981","581","6.00","2018-09-23 16:18:32.884138"
"12982","583","6.00","2018-09-23 16:18:35.743559"
"12983","589","6.00","2018-09-23 16:18:35.890136"
