"id","seqno","nodeID","date"
"1174","287","7.00","2018-10-09 11:49:39.684270"
"1175","368","2.00","2018-10-09 11:49:42.676973"
"1176","355","6.00","2018-10-09 11:49:43.232282"
"1177","344","8.00","2018-10-09 11:49:43.978809"
"1178","287","4.00","2018-10-09 11:49:49.453768"
"1179","287","4.00","2018-10-09 11:49:52.956684"
"1180","358","3.00","2018-10-09 11:49:53.656370"
"1181","288","7.00","2018-10-09 11:49:56.415174"
"1182","369","2.00","2018-10-09 11:50:00.909619"
"1183","359","3.00","2018-10-09 11:50:07.158402"
"1184","288","4.00","2018-10-09 11:50:07.328783"
"1185","345","8.00","2018-10-09 11:50:08.049556"
"1186","356","6.00","2018-10-09 11:50:09.575354"
"1187","289","7.00","2018-10-09 11:50:14.817523"
"1188","354","5.00","2018-10-09 11:50:19.232057"
"1189","370","2.00","2018-10-09 11:50:20.549719"
"1190","360","3.00","2018-10-09 11:50:24.178179"
"1191","234","9.00","2018-10-09 11:50:31.108228"
"1192","357","6.00","2018-10-09 11:50:31.607062"
"1193","290","7.00","2018-10-09 11:50:32.059073"
"1194","289","4.00","2018-10-09 11:50:32.599510"
"1195","289","4.00","2018-10-09 11:50:32.876996"
"1196","355","5.00","2018-10-09 11:50:43.356862"
"1197","235","9.00","2018-10-09 11:50:46.981905"
"1198","371","2.00","2018-10-09 11:50:47.049616"
"1199","358","6.00","2018-10-09 11:50:50.355986"
"1200","290","4.00","2018-10-09 11:50:50.578268"
"1201","291","7.00","2018-10-09 11:51:01.341346"
"1202","356","5.00","2018-10-09 11:51:02.231928"
"1203","356","5.00","2018-10-09 11:51:02.863053"
"1204","291","7.00","2018-10-09 11:51:04.325350"
"1205","347","8.00","2018-10-09 11:51:05.243569"
"1206","291","7.00","2018-10-09 11:51:08.240645"
"1207","359","6.00","2018-10-09 11:51:08.479199"
"1208","291","4.00","2018-10-09 11:51:10.206801"
"1209","236","9.00","2018-10-09 11:51:11.732165"
"1210","372","2.00","2018-10-09 11:51:13.553756"
"1211","362","3.00","2018-10-09 11:51:24.264585"
"1212","292","7.00","2018-10-09 11:51:24.310626"
"1213","348","8.00","2018-10-09 11:51:30.496307"
"1214","360","6.00","2018-10-09 11:51:30.606988"
"1215","292","4.00","2018-10-09 11:51:39.973980"
"1216","373","2.00","2018-10-09 11:51:41.299362"
"1217","237","9.00","2018-10-09 11:51:42.607052"
"1218","363","3.00","2018-10-09 11:51:43.462203"
"1219","361","6.00","2018-10-09 11:51:52.978945"
"1220","349","8.00","2018-10-09 11:51:58.481209"
"1221","358","5.00","2018-10-09 11:51:59.128647"
"1222","293","4.00","2018-10-09 11:52:00.075075"
"1223","374","2.00","2018-10-09 11:52:04.421431"
"1224","238","9.00","2018-10-09 11:52:08.116578"
"1225","350","8.00","2018-10-09 11:52:10.353935"
"1226","364","3.00","2018-10-09 11:52:13.406211"
"1227","362","6.00","2018-10-09 11:52:14.607145"
"1228","294","4.00","2018-10-09 11:52:22.329453"
"1229","359","5.00","2018-10-09 11:52:22.604114"
"1230","375","2.00","2018-10-09 11:52:31.174261"
"1231","365","3.00","2018-10-09 11:52:36.531509"
"1232","351","8.00","2018-10-09 11:52:36.607329"
"1233","363","6.00","2018-10-09 11:52:44.732199"
"1234","295","4.00","2018-10-09 11:52:48.203244"
"1235","376","2.00","2018-10-09 11:52:51.796195"
"1236","360","5.00","2018-10-09 11:52:55.112582"
"1237","295","7.00","2018-10-09 11:52:55.800876"
"1238","366","3.00","2018-10-09 11:52:56.781228"
"1239","352","8.00","2018-10-09 11:53:07.049097"
"1240","296","4.00","2018-10-09 11:53:08.206669"
"1241","364","6.00","2018-10-09 11:53:14.107145"
"1242","296","7.00","2018-10-09 11:53:17.715714"
"1243","377","2.00","2018-10-09 11:53:21.182997"
"1244","361","5.00","2018-10-09 11:53:23.058327"
"1245","367","3.00","2018-10-09 11:53:23.159319"
"1246","297","4.00","2018-10-09 11:53:26.578218"
"1247","241","9.00","2018-10-09 11:53:32.290328"
"1248","297","7.00","2018-10-09 11:53:39.434153"
"1249","378","2.00","2018-10-09 11:53:39.674028"
"1250","353","8.00","2018-10-09 11:53:39.857256"
"1251","365","6.00","2018-10-09 11:53:44.320023"
"1252","362","5.00","2018-10-09 11:53:47.305262"
"1253","368","3.00","2018-10-09 11:53:48.534389"
"1254","298","4.00","2018-10-09 11:53:50.219749"
"1255","242","9.00","2018-10-09 11:53:55.857190"
"1256","354","8.00","2018-10-09 11:54:02.857151"
"1257","379","2.00","2018-10-09 11:54:05.439511"
"1258","363","5.00","2018-10-09 11:54:07.531198"
"1259","369","3.00","2018-10-09 11:54:07.785577"
"1260","366","6.00","2018-10-09 11:54:14.822732"
"1261","299","7.00","2018-10-09 11:54:17.435648"
"1262","299","4.00","2018-10-09 11:54:18.845567"
"1263","243","9.00","2018-10-09 11:54:20.104253"
"1264","364","5.00","2018-10-09 11:54:27.681196"
"1265","367","6.00","2018-10-09 11:54:32.232267"
"1266","355","8.00","2018-10-09 11:54:32.732200"
"1267","370","3.00","2018-10-09 11:54:32.758305"
"1268","380","2.00","2018-10-09 11:54:32.796063"
"1269","244","9.00","2018-10-09 11:54:42.310738"
"1270","356","8.00","2018-10-09 11:54:43.925187"
"1271","300","4.00","2018-10-09 11:54:46.246003"
"1272","368","6.00","2018-10-09 11:54:50.938418"
"1273","368","6.00","2018-10-09 11:54:53.173866"
"1274","365","5.00","2018-10-09 11:54:54.063202"
"1275","371","3.00","2018-10-09 11:55:00.786513"
"1276","245","9.00","2018-10-09 11:55:02.798889"
"1277","381","2.00","2018-10-09 11:55:03.200042"
"1278","357","8.00","2018-10-09 11:55:09.795830"
"1279","301","4.00","2018-10-09 11:55:12.955190"
"1280","369","6.00","2018-10-09 11:55:16.173805"
"1281","301","7.00","2018-10-09 11:55:17.173763"
"1282","366","5.00","2018-10-09 11:55:23.931028"
"1283","372","3.00","2018-10-09 11:55:29.659508"
"1284","382","2.00","2018-10-09 11:55:30.173643"
"1285","246","9.00","2018-10-09 11:55:30.825223"
"1286","367","5.00","2018-10-09 11:55:38.703452"
"1287","370","6.00","2018-10-09 11:55:41.854526"
"1288","302","4.00","2018-10-09 11:55:45.800627"
"1289","358","8.00","2018-10-09 11:55:47.298387"
"1290","373","3.00","2018-10-09 11:55:50.281362"
"1291","303","7.00","2018-10-09 11:55:57.143691"
"1292","368","5.00","2018-10-09 11:55:58.178729"
"1293","303","4.00","2018-10-09 11:56:01.089487"
"1294","383","2.00","2018-10-09 11:56:01.767970"
"1295","359","8.00","2018-10-09 11:56:01.923717"
"1296","371","6.00","2018-10-09 11:56:11.108038"
"1297","374","3.00","2018-10-09 11:56:12.033587"
"1298","304","7.00","2018-10-09 11:56:14.703745"
"1299","304","4.00","2018-10-09 11:56:17.844055"
"1300","360","8.00","2018-10-09 11:56:23.545843"
"1301","369","5.00","2018-10-09 11:56:24.324748"
"1302","384","2.00","2018-10-09 11:56:26.427835"
"1303","369","5.00","2018-10-09 11:56:28.356504"
"1304","375","3.00","2018-10-09 11:56:35.167815"
"1305","305","4.00","2018-10-09 11:56:38.020403"
"1306","372","6.00","2018-10-09 11:56:38.106883"
"1307","305","7.00","2018-10-09 11:56:41.559429"
"1308","385","2.00","2018-10-09 11:56:43.050626"
"1309","370","5.00","2018-10-09 11:56:43.184352"
"1310","361","8.00","2018-10-09 11:56:46.300545"
"1311","373","6.00","2018-10-09 11:56:55.354574"
"1312","376","3.00","2018-10-09 11:56:56.909402"
"1313","306","7.00","2018-10-09 11:57:00.806087"
"1314","250","9.00","2018-10-09 11:57:00.993486"
"1315","306","4.00","2018-10-09 11:57:01.075102"
"1316","362","8.00","2018-10-09 11:57:04.923325"
"1317","386","2.00","2018-10-09 11:57:11.923417"
"1318","377","3.00","2018-10-09 11:57:14.915962"
"1319","374","6.00","2018-10-09 11:57:15.979578"
"1320","371","5.00","2018-10-09 11:57:18.673292"
"1321","363","8.00","2018-10-09 11:57:23.423291"
"1322","307","7.00","2018-10-09 11:57:27.246182"
"1323","307","4.00","2018-10-09 11:57:27.841560"
"1324","307","4.00","2018-10-09 11:57:29.325146"
"1325","251","9.00","2018-10-09 11:57:30.732712"
"1326","378","3.00","2018-10-09 11:57:31.766630"
"1327","387","2.00","2018-10-09 11:57:35.798332"
"1328","375","6.00","2018-10-09 11:57:45.948210"
"1329","372","5.00","2018-10-09 11:57:47.048302"
"1330","379","3.00","2018-10-09 11:57:50.408681"
"1331","308","4.00","2018-10-09 11:57:53.824976"
"1332","252","9.00","2018-10-09 11:57:55.507287"
"1333","364","8.00","2018-10-09 11:58:01.516491"
"1334","308","7.00","2018-10-09 11:58:01.673298"
"1335","388","2.00","2018-10-09 11:58:06.673254"
"1336","373","5.00","2018-10-09 11:58:06.800313"
"1337","365","8.00","2018-10-09 11:58:08.761809"
"1338","380","3.00","2018-10-09 11:58:09.288770"
"1339","376","6.00","2018-10-09 11:58:11.857907"
"1340","309","4.00","2018-10-09 11:58:18.578185"
"1341","374","5.00","2018-10-09 11:58:20.173258"
"1342","381","3.00","2018-10-09 11:58:28.043020"
"1343","377","6.00","2018-10-09 11:58:29.108146"
"1344","389","2.00","2018-10-09 11:58:32.173242"
"1345","366","8.00","2018-10-09 11:58:32.655375"
"1346","310","7.00","2018-10-09 11:58:36.403284"
"1347","310","4.00","2018-10-09 11:58:38.574961"
"1348","382","3.00","2018-10-09 11:58:48.409605"
"1349","390","2.00","2018-10-09 11:58:50.673018"
"1350","254","9.00","2018-10-09 11:58:51.982823"
"1351","367","8.00","2018-10-09 11:58:52.173197"
"1352","378","6.00","2018-10-09 11:58:54.607848"
"1353","375","5.00","2018-10-09 11:58:55.049341"
"1354","311","7.00","2018-10-09 11:59:07.933318"
"1355","311","4.00","2018-10-09 11:59:07.949988"
"1356","379","6.00","2018-10-09 11:59:11.607923"
"1357","383","3.00","2018-10-09 11:59:19.214667"
"1358","391","2.00","2018-10-09 11:59:19.798024"
"1359","368","8.00","2018-10-09 11:59:20.672905"
"1360","312","7.00","2018-10-09 11:59:20.683171"
"1361","255","9.00","2018-10-09 11:59:22.482750"
"1362","312","7.00","2018-10-09 11:59:30.342134"
"1363","376","5.00","2018-10-09 11:59:32.577090"
"1364","312","4.00","2018-10-09 11:59:35.213433"
"1365","313","7.00","2018-10-09 11:59:38.688455"
"1366","380","6.00","2018-10-09 11:59:39.734515"
"1367","392","2.00","2018-10-09 11:59:40.547932"
"1368","369","8.00","2018-10-09 11:59:43.427131"
"1369","384","3.00","2018-10-09 11:59:44.909453"
"1370","256","9.00","2018-10-09 11:59:45.604872"
"1371","377","5.00","2018-10-09 11:59:53.930442"
"1372","370","8.00","2018-10-09 11:59:57.669870"
"1373","313","4.00","2018-10-09 11:59:59.476782"
"1374","381","6.00","2018-10-09 12:00:01.745551"
"1375","393","2.00","2018-10-09 12:00:03.547760"
"1376","257","9.00","2018-10-09 12:00:04.482883"
"1377","314","7.00","2018-10-09 12:00:09.073120"
"1378","378","5.00","2018-10-09 12:00:11.422936"
"1379","385","3.00","2018-10-09 12:00:15.406386"
"1380","371","8.00","2018-10-09 12:00:22.047850"
"1381","382","6.00","2018-10-09 12:00:22.682883"
"1382","314","4.00","2018-10-09 12:00:22.827149"
"1383","394","2.00","2018-10-09 12:00:27.169770"
"1384","258","9.00","2018-10-09 12:00:29.825054"
"1385","383","6.00","2018-10-09 12:00:36.421822"
"1386","386","3.00","2018-10-09 12:00:42.906616"
"1387","315","4.00","2018-10-09 12:00:43.714360"
"1388","395","2.00","2018-10-09 12:00:50.424939"
"1389","372","8.00","2018-10-09 12:00:51.145348"
"1390","259","9.00","2018-10-09 12:00:56.982970"
"1391","384","6.00","2018-10-09 12:01:02.490787"
"1392","379","5.00","2018-10-09 12:01:05.294573"
"1393","373","8.00","2018-10-09 12:01:07.703008"
"1394","316","4.00","2018-10-09 12:01:13.452915"
"1395","387","3.00","2018-10-09 12:01:14.281613"
"1396","317","7.00","2018-10-09 12:01:17.797609"
"1397","260","9.00","2018-10-09 12:01:20.605220"
"1398","380","5.00","2018-10-09 12:01:21.355121"
"1399","396","2.00","2018-10-09 12:01:21.945571"
"1400","317","4.00","2018-10-09 12:01:29.702842"
"1401","318","7.00","2018-10-09 12:01:30.607365"
"1402","385","6.00","2018-10-09 12:01:32.105075"
"1403","388","3.00","2018-10-09 12:01:36.906718"
"1404","388","3.00","2018-10-09 12:01:39.796815"
"1405","381","5.00","2018-10-09 12:01:39.935236"
"1406","397","2.00","2018-10-09 12:01:45.681808"
"1407","318","4.00","2018-10-09 12:01:51.453105"
"1408","261","9.00","2018-10-09 12:01:51.855014"
"1409","374","8.00","2018-10-09 12:01:52.794471"
"1410","386","6.00","2018-10-09 12:01:53.105251"
"1411","318","4.00","2018-10-09 12:01:55.469434"
"1412","319","7.00","2018-10-09 12:01:59.252190"
"1413","389","3.00","2018-10-09 12:02:03.174423"
