"id","nodeID","seqno","x","y","parent_plot","est_int","date"
"160067","3.00","1","60","30","1.00","0","2018-10-04 12:44:47"
"160068","1.00","0","160","30","1.00","100","2018-10-04 12:44:47"
"160069","2.00","2","110","30","3.00","20","2018-10-04 12:44:52"
"160070","1.00","0","160","30","1.00","0","2018-10-04 12:44:52"
"160071","2.00","3","110","30","3.00","20","2018-10-04 12:45:11"
"160072","1.00","0","160","30","1.00","0","2018-10-04 12:45:11"
"160073","3.00","2","60","30","1.00","0","2018-10-04 12:45:20"
"160074","1.00","0","160","30","1.00","0","2018-10-04 12:45:20"
"160075","2.00","4","110","30","3.00","20","2018-10-04 12:45:37"
"160076","1.00","0","160","30","1.00","0","2018-10-04 12:45:37"
"160077","3.00","3","60","30","1.00","0","2018-10-04 12:45:51"
"160078","1.00","0","160","30","1.00","0","2018-10-04 12:45:51"
"160079","2.00","5","110","30","1.00","20","2018-10-04 12:46:00"
"160080","1.00","0","160","30","1.00","0","2018-10-04 12:46:00"
"160081","2.00","6","110","30","1.00","18.1","2018-10-04 12:46:26"
"160082","1.00","0","160","30","1.00","0","2018-10-04 12:46:26"
"160083","3.00","5","60","30","1.00","2.71","2018-10-04 12:46:27"
"160084","1.00","0","160","30","1.00","0","2018-10-04 12:46:27"
"160085","2.00","7","110","30","1.00","16.56","2018-10-04 12:46:45"
"160086","1.00","0","160","30","1.00","0","2018-10-04 12:46:45"
"160087","3.00","6","60","30","1.00","4.09","2018-10-04 12:46:54"
"160088","1.00","0","160","30","1.00","0","2018-10-04 12:46:54"
"160089","2.00","8","110","30","1.00","15.31","2018-10-04 12:47:06"
"160090","1.00","0","160","30","1.00","0","2018-10-04 12:47:06"
"160091","2.00","9","110","30","1.00","14.78","2018-10-04 12:47:25"
"160092","1.00","0","160","30","1.00","0","2018-10-04 12:47:25"
"160093","2.00","10","110","30","1.00","13.87","2018-10-04 12:47:49"
"160094","1.00","0","160","30","1.00","1.9","2018-10-04 12:47:49"
"160095","3.00","8","60","30","1.00","11.12","2018-10-04 12:47:49"
"160096","1.00","0","160","30","1.00","1.9","2018-10-04 12:47:49"
"160097","3.00","9","60","30","1.00","16.41","2018-10-04 12:48:17"
"160098","1.00","0","160","30","1.00","3.43","2018-10-04 12:48:17"
"160099","2.00","11","110","30","1.00","13.48","2018-10-04 12:48:22"
"160100","1.00","0","160","30","1.00","3.43","2018-10-04 12:48:22"
"160101","2.00","12","110","30","1.00","16.72","2018-10-04 12:48:37"
"160102","1.00","0","160","30","1.00","4.09","2018-10-04 12:48:37"
"160103","3.00","10","60","30","1.00","21.09","2018-10-04 12:48:46"
"160104","1.00","0","160","30","1.00","4.09","2018-10-04 12:48:46"
"160105","2.00","13","110","30","1.00","19.24","2018-10-04 12:49:05"
"160106","1.00","0","160","30","1.00","3.31","2018-10-04 12:49:05"
"160107","2.00","14","110","30","1.00","21.28","2018-10-04 12:49:27"
"160108","1.00","0","160","30","1.00","2.98","2018-10-04 12:49:27"
"160109","3.00","12","60","30","1.00","20.79","2018-10-04 12:49:30"
"160110","1.00","0","160","30","1.00","2.98","2018-10-04 12:49:30"
"160111","2.00","15","110","30","1.00","21.94","2018-10-04 12:49:59"
"160112","1.00","0","160","30","1.00","2.41","2018-10-04 12:49:59"
"160113","3.00","13","60","30","1.00","24.64","2018-10-04 12:49:59"
"160114","1.00","0","160","30","1.00","2.41","2018-10-04 12:49:59"
"160115","2.00","16","110","30","1.00","21.57","2018-10-04 12:50:18"
"160116","1.00","0","160","30","1.00","2.17","2018-10-04 12:50:18"
"160117","3.00","14","60","30","1.00","27.36","2018-10-04 12:50:30"
"160118","1.00","0","160","30","1.00","1.95","2018-10-04 12:50:30"
"160119","2.00","17","110","30","1.00","21.41","2018-10-04 12:50:38"
"160120","1.00","0","160","30","1.00","1.76","2018-10-04 12:50:38"
"160121","2.00","18","110","30","1.00","21.27","2018-10-04 12:50:54"
"160122","1.00","0","160","30","1.00","1.58","2018-10-04 12:50:54"
"160123","3.00","15","60","30","1.00","33.56","2018-10-04 12:51:01"
"160124","1.00","0","160","30","1.00","1.58","2018-10-04 12:51:01"
"160125","2.00","19","110","30","1.00","21.03","2018-10-04 12:51:16"
"160126","1.00","0","160","30","1.00","1.42","2018-10-04 12:51:16"
"160127","3.00","16","60","30","1.00","29.08","2018-10-04 12:51:21"
"160128","1.00","0","160","30","1.00","2.28","2018-10-04 12:51:21"
"160129","2.00","20","110","30","1.00","19.83","2018-10-04 12:51:45"
"160130","1.00","0","160","30","1.00","3.05","2018-10-04 12:51:45"
"160131","3.00","18","60","30","1.00","28.02","2018-10-04 12:52:07"
"160132","1.00","0","160","30","1.00","4.37","2018-10-04 12:52:07"
"160133","2.00","21","110","30","1.00","18.85","2018-10-04 12:52:10"
"160134","1.00","0","160","30","1.00","4.37","2018-10-04 12:52:10"
"160135","2.00","22","110","30","1.00","16.45","2018-10-04 12:52:40"
"160136","1.00","0","160","30","1.00","5.44","2018-10-04 12:52:40"
"160137","3.00","20","60","30","1.00","23.13","2018-10-04 12:52:52"
"160138","1.00","0","160","30","1.00","4.89","2018-10-04 12:52:52"
"160139","2.00","23","110","30","1.00","15.22","2018-10-04 12:53:09"
"160140","1.00","0","160","30","1.00","4.4","2018-10-04 12:53:09"
"160141","2.00","24","110","30","1.00","14.23","2018-10-04 12:53:34"
"160142","1.00","0","160","30","1.00","3.96","2018-10-04 12:53:34"
"160143","3.00","22","60","30","1.00","18.62","2018-10-04 12:53:54"
"160144","1.00","0","160","30","1.00","3.21","2018-10-04 12:53:54"
"160145","2.00","25","110","30","1.00","13.43","2018-10-04 12:54:05"
"160146","1.00","0","160","30","1.00","3.21","2018-10-04 12:54:05"
"160147","3.00","23","60","30","1.00","16.98","2018-10-04 12:54:10"
"160148","1.00","0","160","30","1.00","2.89","2018-10-04 12:54:10"
"160149","2.00","26","110","30","1.00","14.67","2018-10-04 12:54:32"
"160150","1.00","0","160","30","1.00","2.6","2018-10-04 12:54:32"
"160151","2.00","27","110","30","1.00","14.21","2018-10-04 12:54:52"
"160152","1.00","0","160","30","1.00","2.34","2018-10-04 12:54:52"
"160153","2.00","28","110","30","1.00","13.06","2018-10-04 12:55:10"
"160154","1.00","0","160","30","1.00","2.1","2018-10-04 12:55:10"
"160155","3.00","26","60","30","1.00","19.12","2018-10-04 12:55:16"
"160156","1.00","0","160","30","1.00","1.89","2018-10-04 12:55:16"
"160157","3.00","27","60","30","2.00","17.38","2018-10-04 12:55:41"
"160158","1.00","0","160","30","1.00","1.7","2018-10-04 12:55:41"
"160159","2.00","30","110","30","1.00","12.23","2018-10-04 12:55:59"
"160160","1.00","0","160","30","1.00","3.28","2018-10-04 12:55:59"
"160161","3.00","28","60","30","1.00","15.98","2018-10-04 12:56:07"
"160162","1.00","0","160","30","1.00","3.28","2018-10-04 12:56:07"
"160163","2.00","31","110","30","3.00","11.63","2018-10-04 12:56:23"
"160164","1.00","0","160","30","1.00","3.95","2018-10-04 12:56:23"
"160165","3.00","29","60","30","1.00","15.38","2018-10-04 12:56:25"
"160166","1.00","0","160","30","1.00","3.95","2018-10-04 12:56:25"
"160167","3.00","30","60","30","1.00","14.36","2018-10-04 12:56:42"
"160168","1.00","0","160","30","1.00","4.55","2018-10-04 12:56:42"
"160169","2.00","32","110","30","3.00","11.32","2018-10-04 12:56:46"
"160170","1.00","0","160","30","1.00","5.1","2018-10-04 12:56:46"
"160171","2.00","33","110","30","1.00","11.18","2018-10-04 12:57:05"
"160172","1.00","0","160","30","1.00","4.59","2018-10-04 12:57:05"
"160173","3.00","31","60","30","1.00","13.53","2018-10-04 12:57:06"
"160174","1.00","0","160","30","1.00","4.59","2018-10-04 12:57:06"
"160175","3.00","32","60","30","1.00","13.18","2018-10-04 12:57:30"
"160176","1.00","0","160","30","1.00","3.72","2018-10-04 12:57:30"
"160177","2.00","34","110","30","1.00","10.86","2018-10-04 12:57:35"
"160178","1.00","0","160","30","1.00","3.72","2018-10-04 12:57:35"
"160179","3.00","33","60","30","1.00","12.57","2018-10-04 12:57:51"
"160180","1.00","0","160","30","1.00","3.34","2018-10-04 12:57:51"
"160181","2.00","35","110","30","1.00","10.78","2018-10-04 12:57:52"
"160182","1.00","0","160","30","1.00","3.34","2018-10-04 12:57:52"
"160183","3.00","34","60","30","1.00","12.08","2018-10-04 12:58:16"
"160184","1.00","0","160","30","1.00","2.71","2018-10-04 12:58:16"
