"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"128","641862","2.00","2506","5794825","158503762","2491506","1445725","0","0","5362","60184","3099","1048","0","0","2018-08-12 15:03:46"
"129","642118","2.00","2507","5795707","158568405","2491506","1446144","0","0","881","64643","0","419","0","0","2018-08-12 15:03:48"
"130","642374","2.00","2508","5796592","158633056","2491506","1446481","0","0","885","64651","0","337","0","0","2018-08-12 15:03:50"
"131","642630","2.00","2509","5801803","158693381","2494414","1447433","0","0","5210","60325","2908","952","0","0","2018-08-12 15:03:52"
"132","642886","2.00","2510","5802699","158758021","2494414","1447770","0","0","896","64640","0","337","0","0","2018-08-12 15:03:54"
"133","643142","2.00","2511","5803582","158822674","2494414","1448107","0","0","882","64653","0","337","0","0","2018-08-12 15:03:56"
"134","643398","2.00","2512","5804466","158887326","2494414","1448444","0","0","883","64652","0","337","0","0","2018-08-12 15:03:58"
"135","661830","2.00","2584","5981246","163429138","2572735","1491557","0","0","898","64638","0","337","0","0","2018-08-12 15:06:22"
"136","662086","2.00","2585","5986478","163489442","2575837","1492566","0","0","5231","60304","3102","1009","0","0","2018-08-12 15:06:24"
"137","662342","2.00","2586","5987374","163554082","2575837","1493008","0","0","896","64640","0","442","0","0","2018-08-12 15:06:26"
"138","662598","2.00","2587","5988240","163618752","2575837","1493438","0","0","866","64670","0","430","0","0","2018-08-12 15:06:28"
"139","662854","2.00","2588","5993457","163679071","2578746","1494367","0","0","5217","60319","2909","929","0","0","2018-08-12 15:06:30"
"140","670278","2.00","2617","6062559","165510513","2609126","1512317","0","0","863","64673","0","523","0","0","2018-08-12 15:07:28"
"141","670534","2.00","2618","6067796","165571101","2612034","1513252","0","0","5237","60588","2908","935","0","0","2018-08-12 15:07:30"
"142","670790","2.00","2619","6068692","165635452","2612034","1513578","0","0","895","64351","0","326","0","0","2018-08-12 15:07:32"
"143","671046","2.00","2620","6069559","165700121","2612034","1514008","0","0","866","64669","0","430","0","0","2018-08-12 15:07:34"
"144","671302","2.00","2621","6074773","165760444","2614943","1514935","0","0","5214","60323","2909","927","0","0","2018-08-12 15:07:36"
