"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"1","697210","0.18","1815","5050414","173416223","397714","3418707","0","2971843","3039","95266","264","2730","0","2327","2018-09-03 13:54:58"
"2","697594","0.18","1816","5053574","173511365","397978","3421177","0","2974064","3159","95142","264","2470","0","2221","2018-09-03 13:55:01"
"3","697978","0.18","1817","5056617","173606628","398242","3423960","0","2976385","3043","95263","264","2783","0","2321","2018-09-03 13:55:04"
"4","698362","0.18","1818","5059665","173701882","398506","3426213","0","2978392","3047","95254","264","2253","0","2007","2018-09-03 13:55:07"
"5","698746","0.18","1819","5062804","173797048","398770","3429078","0","2980853","3139","95166","264","2865","0","2461","2018-09-03 13:55:10"
"6","699130","0.18","1820","5066229","173891926","399154","3431445","0","2982865","3424","94878","384","2367","0","2012","2018-09-03 13:55:13"
"7","699514","0.18","1821","5069281","173987180","399418","3434172","0","2985190","3051","95254","264","2727","0","2325","2018-09-03 13:55:16"
"8","699898","0.18","1822","5072294","174082414","399682","3436257","0","2987028","3013","95234","264","2084","0","1838","2018-09-03 13:55:19"
"9","700282","0.18","1823","5074673","174178396","399770","3438939","0","2989521","2378","95982","88","2682","0","2493","2018-09-03 13:55:22"
"10","700666","0.18","1824","5077253","174274063","399946","3441496","0","2991940","2579","95667","176","2557","0","2419","2018-09-03 13:55:25"
"11","701050","0.18","1825","5079960","174369716","400122","3444544","0","2994693","2706","95653","176","3048","0","2753","2018-09-03 13:55:28"
"12","701434","0.18","1826","5083011","174464969","400386","3446932","0","2996834","3050","95253","264","2388","0","2141","2018-09-03 13:55:31"
"13","701818","0.18","1827","5085619","174560609","400562","3449650","0","2999310","2608","95640","176","2718","0","2476","2018-09-03 13:55:34"
"14","702202","0.18","1828","5088542","174656045","400738","3452056","0","3001525","2920","95436","176","2406","0","2215","2018-09-03 13:55:37"
"15","702586","0.18","1829","5091667","174751227","401002","3454964","0","3004030","3124","95182","264","2908","0","2505","2018-09-03 13:55:40"
"16","702970","0.18","1830","5094304","174846837","401178","3457655","0","3006568","2637","95610","176","2690","0","2538","2018-09-03 13:55:43"
"17","703354","0.18","1831","5096970","174942474","401354","3460644","0","3009320","2666","95637","176","2989","0","2752","2018-09-03 13:55:46"
"18","703738","0.18","1832","5099254","175038549","401442","3463173","0","3011762","2281","96075","88","2526","0","2442","2018-09-03 13:55:49"
"19","704122","0.18","1833","5102267","175133842","401706","3466046","0","3014233","3013","95293","264","2873","0","2471","2018-09-03 13:55:52"
"20","704506","0.18","1834","5105321","175229090","401970","3468303","0","3016243","3053","95248","264","2257","0","2010","2018-09-03 13:55:55"
"21","704890","0.18","1835","5108370","175324346","402234","3471015","0","3018554","3049","95256","264","2712","0","2311","2018-09-03 13:55:58"
"22","705274","0.18","1836","5111433","175419586","402498","3473109","0","3020403","3062","95240","264","2094","0","1849","2018-09-03 13:56:01"
"23","705658","0.18","1837","5114480","175514845","402762","3475994","0","3022884","3047","95259","264","2885","0","2481","2018-09-03 13:56:04"
"24","706042","0.18","1838","5117493","175610080","403025","3478346","0","3024979","3012","95235","263","2352","0","2095","2018-09-03 13:56:07"
"25","706426","0.18","1839","5119830","175706102","403113","3481015","0","3027462","2336","96022","88","2669","0","2483","2018-09-03 13:56:10"
"26","706810","0.18","1840","5122828","175801352","403377","3483287","0","3029488","2997","95250","264","2272","0","2026","2018-09-03 13:56:13"
"27","707194","0.18","1841","5125114","175897370","403465","3486064","0","3032136","2285","96018","88","2777","0","2648","2018-09-03 13:56:16"
"28","707578","0.18","1842","5127475","175993368","403553","3488799","0","3034782","2358","95998","88","2732","0","2646","2018-09-03 13:56:19"
"29","707962","0.18","1843","5130619","176088531","403817","3491836","0","3037416","3144","95163","264","3037","0","2634","2018-09-03 13:56:22"
"30","708347","0.18","1844","5133388","176184062","403993","3494181","0","3039623","2769","95531","176","2344","0","2207","2018-09-03 13:56:25"
"31","708730","0.18","1845","5136245","176279459","404257","3497393","0","3042482","2856","95397","264","3212","0","2859","2018-09-03 13:56:28"
"32","709114","0.18","1846","5138928","176375131","404433","3499884","0","3044782","2683","95672","176","2491","0","2300","2018-09-03 13:56:31"
"33","709498","0.18","1847","5141951","176470415","404697","3502759","0","3047254","3023","95284","264","2875","0","2472","2018-09-03 13:56:34"
"34","709884","0.18","1848","5145211","176565759","404961","3505093","0","3049340","3260","95344","264","2333","0","2086","2018-09-03 13:56:37"
"35","710266","0.18","1849","5147782","176661137","405137","3508075","0","3052082","2570","95378","176","2982","0","2742","2018-09-03 13:56:40"
"36","710650","0.18","1850","5150478","176756797","405313","3510281","0","3054096","2695","95660","176","2205","0","2014","2018-09-03 13:56:43"
"37","711034","0.18","1851","5153528","176852054","405577","3513166","0","3056577","3050","95257","264","2885","0","2481","2018-09-03 13:56:46"
"38","711418","0.18","1852","5156522","176947306","405841","3515538","0","3058683","2994","95252","264","2371","0","2106","2018-09-03 13:56:49"
"39","711802","0.18","1853","5158847","177043342","405929","3518290","0","3061269","2322","96036","88","2749","0","2586","2018-09-03 13:56:52"
"40","712186","0.18","1854","5162270","177138221","406286","3520465","0","3063089","3422","94879","357","2175","0","1820","2018-09-03 13:56:55"
"41","712570","0.18","1855","5165348","177233392","406550","3523319","0","3065600","3078","95171","264","2854","0","2511","2018-09-03 13:56:58"
"42","712954","0.18","1856","5167630","177329469","406638","3525851","0","3068043","2279","96077","88","2528","0","2443","2018-09-03 13:57:01"
"43","713338","0.18","1857","5170660","177424745","406901","3528739","0","3070514","3030","95276","263","2888","0","2471","2018-09-03 13:57:04"
"44","713722","0.18","1858","5173715","177519992","407165","3530990","0","3072522","3054","95247","264","2251","0","2008","2018-09-03 13:57:07"
